" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1917" "   -27.1" "   -30.1" "   -13.3" "    -5.1" "     0.4" "     6.9" "    14.7" "    10.3" "     6.9" "    -4.1" "    -4.9" "   -24.9" "    -5.9" " NA" "    -6.0" "    10.6" "    -0.7"
"1918" "   -25.9" "   -21.5" "    -8.7" "    -2.8" "     3.8" "     9.5" "    12.5" "    12.4" "     3.4" "     1.3" "    -3.5" "   -13.2" "    -2.7" "   -24.1" "    -2.6" "    11.5" "     0.4"
"1919" "   -16.6" "   -18.5" "   -12.7" "    -1.4" "     7.0" "    14.4" "    15.5" "    13.0" "     7.7" "    -3.2" "   -11.8" "   -22.3" "    -2.4" "   -16.1" "    -2.4" "    14.3" "    -2.4"
"1920" "   -27.7" "   -21.9" "   -13.4" "    -8.5" "     3.8" "     9.9" "    10.7" "    10.5" "     7.5" "     2.9" "    -8.9" "   -15.5" "    -4.2" "   -24.0" "    -6.0" "    10.4" "     0.5"
"1921" "   -19.5" "   -17.0" "   -15.0" "    -2.9" "     5.2" "    12.3" "    15.3" "    12.1" "     7.8" "     0.6" "   -13.2" "   -17.9" "    -2.7" "   -17.3" "    -4.2" "    13.2" "    -1.6"
"1922" "   -23.6" "   -23.6" "   -11.5" "    -2.8" "     7.0" "    10.1" "    10.6" "    11.9" "     6.8" "     0.2" "    -4.0" "   -22.0" "    -3.4" "   -21.7" "    -2.4" "    10.9" "     1.0"
"1923" "   -24.6" "   -28.2" "   -21.2" "    -6.3" "     4.1" "    11.5" "    13.4" "     6.9" "     6.9" "    -1.0" "    -4.6" "   -12.8" "    -4.7" "   -24.9" "    -7.8" "    10.6" "     0.4"
"1924" "   -31.0" "   -20.0" "   -13.0" "    -3.5" "    -0.2" "     6.1" "    10.2" "     9.2" "     4.5" "     3.5" "   -10.7" "   -27.3" "    -6.0" "   -21.3" "    -5.6" "     8.5" "    -0.9"
"1925" "   -25.0" "   -22.3" "   -14.9" "    -1.2" "     2.3" "     9.5" "    11.6" "    10.9" "     7.9" "    -4.0" "    -9.3" "   -19.9" "    -4.5" "   -24.9" "    -4.6" "    10.7" "    -1.8"
"1926" "   -21.5" "   -17.8" "   -14.9" "    -5.6" "     4.7" "     7.5" "    11.9" "    10.8" "     4.9" "    -0.5" "   -12.7" "   -21.8" "    -4.6" "   -19.7" "    -5.3" "    10.1" "    -2.8"
"1927" "   -22.6" "   -20.0" "    -8.2" "    -1.7" "     2.9" "     9.5" "    11.5" "     9.0" "     8.8" "     1.5" "   -12.4" "   -25.0" "    -3.9" "   -21.5" "    -2.3" "    10.0" "    -0.7"
"1928" "   -20.7" "   -19.2" "   -12.5" "    -5.4" "     6.4" "     9.6" "    13.4" "    12.0" "     6.2" "     1.2" "    -5.0" "   -13.1" "    -2.3" "   -21.6" "    -3.8" "    11.7" "     0.8"
"1929" "   -30.5" "   -22.1" "    -8.7" "    -1.4" "     3.4" "     9.9" "    13.4" "    12.5" "     6.0" "     1.6" "   -10.7" "   -18.2" "    -3.7" "   -21.9" "    -2.2" "    11.9" "    -1.0"
"1930" "   -27.1" "   -15.2" "   -10.9" "    -0.6" "     5.7" "    12.0" "    14.6" "    14.0" "     7.4" "     1.9" "    -7.1" "   -14.0" "    -1.6" "   -20.2" "    -1.9" "    13.5" "     0.7"
"1931" "   -15.8" "   -13.1" "   -10.1" "    -0.6" "     5.1" "    13.5" "    13.9" "    12.7" "     9.8" "     4.1" "    -5.1" "   -12.2" "     0.2" "   -14.3" "    -1.9" "    13.4" "     2.9"
"1932" "   -17.2" "   -21.0" "   -18.8" "    -3.3" "     5.1" "    13.0" "    14.0" "    12.8" "     6.8" "    -0.4" "   -11.8" "   -22.4" "    -3.6" "   -16.8" "    -5.7" "    13.3" "    -1.8"
"1933" "   -22.2" "   -26.3" "   -14.3" "    -3.7" "     5.0" "    13.4" "    13.8" "    12.3" "     8.6" "    -2.6" "   -13.3" "   -26.5" "    -4.7" "   -23.6" "    -4.3" "    13.2" "    -2.4"
"1934" "   -20.5" "   -25.6" "   -17.9" "    -3.4" "     5.6" "    10.3" "    12.2" "    10.1" "     4.8" "     1.7" "    -5.2" "   -20.3" "    -4.0" "   -24.2" "    -5.2" "    10.9" "     0.4"
"1935" "   -26.8" "   -15.5" "   -12.2" "    -4.8" "     3.0" "     8.2" "    16.6" "    13.2" "     5.9" "    -0.1" "   -13.3" "   -17.2" "    -3.6" "   -20.9" "    -4.7" "    12.7" "    -2.5"
"1936" "   -27.6" "   -29.5" "   -10.6" "    -6.2" "     6.2" "    10.5" "    17.7" "    13.8" "     8.6" "    -2.9" "   -11.7" "   -17.7" "    -4.1" "   -24.8" "    -3.5" "    14.0" "    -2.0"
"1937" "   -29.7" "   -20.8" "   -13.1" "    -1.7" "     6.8" "    11.8" "    16.4" "    16.1" "     7.2" "     0.4" "    -6.8" "   -19.6" "    -2.8" "   -22.7" "    -2.7" "    14.8" "     0.3"
"1938" "   -22.6" "   -17.8" "    -7.1" "    -3.3" "     4.7" "     9.9" "    13.0" "    12.7" "     6.6" "     3.2" "   -10.4" "   -17.3" "    -2.4" "   -20.0" "    -1.9" "    11.9" "    -0.2"
"1939" "   -22.0" "   -28.1" "   -16.2" " NA" "     5.4" "    10.1" "    12.8" "    12.2" "     6.8" "    -0.1" "    -5.3" "    -9.4" " NA" "   -22.5" " NA" "    11.7" "     0.5"
"1940" "   -23.0" "   -16.7" "   -14.5" "    -3.5" "     3.8" "     8.8" "    14.6" "    11.8" "     8.3" "     3.0" "   -10.3" "   -16.4" "    -2.8" "   -16.4" "    -4.7" "    11.7" "     0.3"
"1941" "   -20.5" "   -19.7" "   -12.4" "     1.2" "     6.6" "    10.9" "    13.1" "    10.2" "     6.3" "     0.2" "    -8.9" "   -15.3" "    -2.4" "   -18.9" "    -1.5" "    11.4" "    -0.8"
"1942" "   -18.8" "   -18.3" "    -8.9" "    -1.0" "     2.0" "     7.5" "     9.7" "     9.1" "     2.8" "    -0.5" "   -11.2" "   -22.4" "    -4.2" "   -17.5" "    -2.6" "     8.8" "    -3.0"
"1943" "   -28.8" "   -23.3" "   -19.0" "    -5.6" "     2.6" "     8.3" "    13.1" "    10.5" "     3.0" "     1.4" "    -9.6" "   -18.2" "    -5.5" "   -24.8" "    -7.3" "    10.6" "    -1.7"
"1944" "   -14.3" "   -22.7" "   -16.2" "    -5.0" "     5.1" "     7.4" "    10.2" " NA" "     6.1" "    -0.6" "    -5.0" "   -18.3" " NA" "   -18.4" "    -5.4" " NA" "     0.2"
"1945" "   -21.9" "   -20.5" "    -6.9" "    -5.2" "     0.2" "     6.7" "    11.3" "    11.5" "     5.1" "    -1.4" "    -9.3" "   -20.8" "    -4.3" "   -20.2" "    -4.0" "     9.8" "    -1.9"
"1946" "   -23.1" "   -25.6" "    -7.5" "    -1.4" "     2.8" "     8.1" "    11.2" "     8.1" "     4.2" "    -1.4" "   -11.5" "   -20.2" "    -4.7" "   -23.2" "    -2.0" "     9.1" "    -2.9"
"1947" "   -21.0" "   -24.7" "   -14.4" "    -5.5" "     0.3" "     6.6" "    12.7" "    12.1" "     3.2" "     3.5" "   -12.6" "   -22.0" "    -5.2" "   -22.0" "    -6.5" "    10.5" "    -2.0"
"1948" "   -27.6" "   -27.7" "   -16.3" "    -3.6" "     2.6" "     7.7" "    11.4" "    11.0" "     5.7" "    -0.6" "    -6.9" "   -20.4" "    -5.4" "   -25.8" "    -5.8" "    10.0" "    -0.6"
"1949" "   -24.3" "   -27.9" "   -17.0" "    -2.2" "     2.8" "     9.0" "    11.4" "    12.2" "     2.3" "    -1.4" "    -6.8" "   -20.4" "    -5.2" "   -24.2" "    -5.5" "    10.9" "    -2.0"
