" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1917" " NA" " NA" " NA" " NA" " NA" "     6.2" "    12.2" "     7.2" "     5.4" "    -4.6" "    -9.0" " NA" " NA" " NA" " NA" "     8.5" "    -2.7"
"1918" " NA" " NA" "    -9.2" "    -1.5" "     5.2" "     8.5" "    11.8" "    12.1" "     7.6" "     9.5" "    -3.6" " NA" " NA" " NA" "    -1.8" "    10.8" "     4.5"
"1919" " NA" " NA" "   -12.5" "    -3.4" "     0.4" "     0.0" "     4.7" "    18.1" "    16.8" "     7.9" "    -7.2" "   -29.4" " NA" " NA" "    -5.2" "     7.6" "     5.8"
"1920" " NA" " NA" "   -15.9" "    -5.4" "     2.6" "    10.0" "     6.9" "     6.6" "     3.9" "    -1.4" "   -11.0" "   -13.9" " NA" " NA" "    -6.2" "     7.8" "    -2.8"
"1921" "   -20.2" "   -20.6" "   -15.4" "    -3.2" "     1.5" "     8.1" "    13.3" "     5.8" "     5.6" "    -1.6" "   -15.3" "   -19.1" "    -5.1" "   -18.2" "    -5.7" "     9.1" "    -3.8"
"1922" "   -24.1" "   -25.0" "   -16.1" "    -6.1" "     2.5" "     4.7" "     6.4" "     5.5" " NA" "    -7.7" "    -7.6" "   -25.9" " NA" "   -22.7" "    -6.6" "     5.5" " NA"
"1923" "   -27.5" "   -27.4" "   -24.0" "   -13.4" "    -2.5" "     7.9" "     7.9" "     5.7" "     5.6" "    -2.9" "    -6.3" "   -15.1" "    -7.7" "   -26.9" "   -13.3" "     7.2" "    -1.2"
"1924" "   -31.3" "   -25.2" "   -18.0" "    -7.9" "    -1.4" "     3.1" "     8.0" "     7.4" "     3.1" "    -0.2" "    -8.9" "   -26.5" "    -8.2" "   -23.9" "    -9.1" "     6.2" "    -2.0"
"1925" "   -30.2" "   -26.2" "   -20.0" "    -6.9" "    -1.5" "    10.2" "     9.1" "     5.7" " NA" "    -5.9" "   -10.9" "   -20.2" " NA" "   -27.6" "    -9.5" "     8.3" " NA"
"1926" "   -24.2" "   -24.9" "   -19.9" "   -10.8" "    -1.4" "     4.3" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -23.1" "   -10.7" " NA" " NA"
"1927" "   -24.0" "   -22.3" "   -12.1" "    -7.7" "     0.2" "     4.6" "     7.6" "     3.9" "     4.9" "    -0.3" "   -11.5" "   -24.1" "    -6.7" " NA" "    -6.5" "     5.4" "    -2.3"
"1928" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1929" "   -28.9" "   -26.2" "    -8.0" "    -6.0" "    -1.3" "     3.3" "     7.1" "     5.2" "     3.6" "    -2.1" "   -10.2" "   -22.3" "    -7.2" " NA" "    -5.1" "     5.2" "    -2.9"
"1930" "   -29.2" "   -22.9" "   -16.0" "    -7.9" "     3.3" "     8.1" "     9.6" "     6.8" " NA" "     0.8" "    -6.1" "   -15.9" " NA" "   -24.8" "    -6.9" "     8.2" " NA"
"1931" "   -23.4" "   -20.6" "   -16.0" "    -7.4" "     2.1" "    10.5" "    10.5" "     6.1" "     6.2" "     0.6" " NA" "   -15.3" " NA" "   -20.0" "    -7.1" "     9.0" " NA"
"1932" "   -15.6" "   -21.4" "   -23.8" "    -8.6" "     1.7" "     5.1" "     7.5" "     9.3" "     7.8" "    -2.2" "   -12.5" "   -19.5" "    -6.0" "   -17.4" "   -10.2" "     7.3" "    -2.3"
"1933" "   -25.0" "   -30.0" "   -22.1" "    -5.6" "     1.3" "     8.9" "     8.0" "     3.2" "     0.6" "    -4.2" "   -18.4" "   -29.5" "    -9.4" "   -24.8" "    -8.8" "     6.7" "    -7.3"
"1934" "   -20.8" "   -33.8" "   -20.4" "    -8.0" "     1.4" "     4.7" "     5.3" "     2.9" "     1.8" " NA" " NA" " NA" " NA" "   -28.0" "    -9.0" "     4.3" " NA"
"1935" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -13.7" "   -18.9" " NA" " NA" " NA" " NA" " NA"
"1936" "   -28.0" "   -28.5" "   -12.8" "   -10.0" " NA" "     5.0" "     8.0" "     7.2" "     3.3" "    -5.8" "   -19.3" "   -18.3" " NA" "   -25.1" " NA" "     6.7" "    -7.3"
"1937" "   -28.7" "   -15.7" "   -20.7" "    -4.8" "     1.5" "     7.2" "     9.6" "     9.7" " NA" "    -1.9" "    -9.8" "   -20.9" " NA" "   -20.9" "    -8.0" "     8.8" " NA"
"1938" "   -26.7" "   -24.9" " NA" "    -6.2" "     2.0" "     6.6" "     8.1" " NA" "     2.3" "    -0.2" " NA" "   -17.8" " NA" "   -24.2" " NA" " NA" " NA"
"1939" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     6.6" "     4.0" "    -1.6" "    -8.4" "   -13.4" " NA" " NA" " NA" " NA" "    -2.0"
"1940" "   -24.1" "   -22.9" "   -18.5" "    -9.1" "     1.4" "     5.3" "     7.1" "     6.7" "     3.7" "    -2.5" " NA" "   -18.2" " NA" "   -20.1" "    -8.7" "     6.4" " NA"
"1941" " NA" " NA" "   -20.7" " NA" "     1.2" "     5.9" "     8.6" "     4.2" "     5.0" "    -1.0" "    -9.5" "   -22.4" " NA" " NA" " NA" "     6.2" "    -1.8"
"1942" "   -26.2" "   -21.1" " NA" "    -4.4" "     0.6" "     7.1" "     5.8" "     5.2" " NA" "    -4.6" "    -8.9" " NA" " NA" "   -23.2" " NA" "     6.0" " NA"
"1943" " NA" "   -30.3" " NA" " NA" " NA" "     5.9" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1944" "   -14.4" "   -24.4" "   -20.8" "   -11.0" "     5.1" " NA" " NA" "     8.8" " NA" " NA" " NA" " NA" " NA" " NA" "    -8.9" " NA" " NA"
"1945" "   -28.7" "   -21.7" "    -8.6" "    -6.5" "    -1.2" "     5.6" "     6.9" " NA" "     3.5" " NA" "   -10.4" "   -23.5" " NA" " NA" "    -5.4" " NA" " NA"
"1946" "   -20.9" "   -25.6" "    -9.1" "    -4.4" "    -2.9" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -23.3" "    -5.5" " NA" " NA"
