" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1947" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     5.1" "    -5.4" "   -14.9" " NA" " NA" " NA" " NA" " NA"
"1948" "   -22.6" "   -19.4" "   -12.9" "    -2.0" "     2.9" "     9.4" "    12.7" "    12.5" "     8.5" "     1.4" "     0.0" "   -10.6" "    -1.7" "   -19.0" "    -4.0" "    11.5" "     3.3"
"1949" "   -16.2" "   -16.4" "   -12.3" "    -3.1" "     3.5" "    12.0" "    13.8" "    12.4" "     6.4" "     3.4" "    -7.0" "   -12.3" "    -1.3" "   -14.4" "    -4.0" "    12.7" "     0.9"
"1950" "   -16.8" "   -17.7" "   -14.1" "    -6.2" "     3.4" "     8.6" "    11.9" "     9.5" "     5.8" "     3.2" "    -5.5" "   -15.5" "    -2.8" "   -15.6" "    -5.6" "    10.0" "     1.2"
"1951" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1952" "   -17.4" "   -17.3" "   -11.2" "    -2.1" "     4.2" "    10.1" "    14.0" "    11.7" "     8.4" "    -0.6" "    -3.0" "    -8.7" "    -1.0" " NA" "    -3.0" "    11.9" "     1.6"
"1953" "   -17.4" "   -13.8" "    -8.8" "    -2.4" "     4.6" "    10.1" "    12.9" "    12.1" "     7.1" "     1.7" "    -2.1" "   -11.2" "    -0.6" "   -13.3" "    -2.2" "    11.7" "     2.2"
"1954" "   -22.9" "   -12.4" "   -11.4" "    -2.9" "     3.6" " NA" "    11.6" "    11.4" "     7.3" "     3.1" "    -2.8" "   -13.5" " NA" "   -15.5" "    -3.6" " NA" "     2.5"
"1955" "   -18.0" " NA" "   -12.5" "     1.8" "     6.2" "    12.6" "    15.5" "    14.4" "     6.8" "     3.4" "    -5.8" "   -17.0" " NA" " NA" "    -1.5" "    14.2" "     1.5"
"1956" "   -16.0" "   -14.3" "   -14.5" "    -3.3" "     1.4" "    10.5" "    12.2" "    11.3" "     4.9" "     3.2" "    -4.1" "   -15.0" "    -2.0" "   -15.8" "    -5.5" "    11.3" "     1.3"
"1957" "   -22.9" "   -14.2" "    -9.8" "    -0.8" "     3.6" "    10.9" "    13.0" "    10.6" "     6.7" "     1.7" "    -3.0" "   -11.0" "    -1.3" "   -17.4" "    -2.3" "    11.5" "     1.8"
"1958" "   -14.0" "   -18.1" "    -5.4" "    -0.1" "     2.8" "     7.9" "    12.4" "    11.9" "     8.2" "     2.7" "    -3.4" "   -19.5" "    -1.2" "   -14.4" "    -0.9" "    10.7" "     2.5"
"1959" "   -18.4" "   -19.9" "   -12.6" "    -2.9" "     5.6" "    11.8" "    13.8" "    14.8" "    10.1" "     1.3" "    -8.6" "   -11.1" "    -1.3" "   -19.3" "    -3.3" "    13.5" "     0.9"
"1960" "   -16.0" "   -15.2" "   -15.9" "    -2.0" "     7.6" "    10.0" "    12.0" "    12.5" "     8.6" "     2.6" "    -1.5" "   -15.5" "    -1.1" "   -14.1" "    -3.4" "    11.5" "     3.2"
"1961" "   -20.4" "   -13.8" "    -8.7" "    -1.6" "     2.8" "     8.9" "    13.9" "    12.1" "    10.2" "     2.3" "    -3.8" "   -12.2" "    -0.9" "   -16.6" "    -2.5" "    11.6" "     2.9"
"1962" "   -20.6" "   -21.3" "    -9.3" "    -3.1" "     7.0" "    10.2" "    12.1" "    12.0" "     6.9" "     2.7" "    -3.9" "   -14.6" "    -1.8" "   -18.0" "    -1.8" "    11.4" "     1.9"
"1963" "   -21.3" "   -21.8" "   -12.6" "    -2.2" "     3.1" "    11.2" "    13.8" "    10.4" "     5.6" "     5.2" "    -0.9" "   -16.7" "    -2.2" "   -19.2" "    -3.9" "    11.8" "     3.3"
"1964" "   -13.9" "   -16.8" "   -12.8" "    -2.7" "     6.6" "     8.7" "    14.4" "     9.7" "     6.6" "     0.7" "    -4.3" "   -14.7" "    -1.5" "   -15.8" "    -3.0" "    10.9" "     1.0"
"1965" "   -20.8" "   -19.3" "   -12.9" "    -3.5" "     5.7" "     9.3" "    10.1" "    10.3" "     6.5" "     0.8" "    -6.2" "    -9.2" "    -2.4" "   -18.3" "    -3.6" "     9.9" "     0.4"
"1966" "   -20.2" "   -14.1" "    -9.0" "    -1.3" "     2.0" "    10.6" "    13.5" "    11.9" "     6.1" "     1.3" "    -5.4" "   -14.6" "    -1.6" "   -14.5" "    -2.8" "    12.0" "     0.7"
"1967" "   -16.7" "   -22.6" "   -12.6" "    -3.0" "     1.5" "    12.2" "    12.5" "    10.5" "     7.1" "     1.5" "    -7.1" "   -11.8" "    -2.4" "   -18.0" "    -4.7" "    11.7" "     0.5"
"1968" "   -19.9" "   -19.2" "    -9.2" "    -0.6" "     4.7" "     9.6" "    12.3" "    11.1" "     9.9" "     4.1" "    -5.8" "   -14.0" "    -1.4" "   -17.0" "    -1.7" "    11.0" "     2.7"
"1969" "   -14.9" "   -14.0" "   -12.6" "    -2.5" "     3.2" "     8.6" "    12.9" "    13.7" "     6.9" "     0.9" "    -4.2" "   -14.5" "    -1.4" "   -14.3" "    -4.0" "    11.7" "     1.2"
"1970" "   -21.0" "   -20.4" "   -12.2" "    -2.4" "     3.7" "    10.0" "    14.4" "    12.6" "     7.9" "     3.6" "    -4.1" "   -16.2" "    -2.0" "   -18.6" "    -3.6" "    12.3" "     2.5"
"1971" "   -21.2" "   -16.7" "   -13.1" "    -3.6" "     3.6" "    11.4" "    11.7" "    10.9" "     9.9" "     6.4" "    -4.9" "   -13.1" "    -1.6" "   -18.0" "    -4.4" "    11.3" "     3.8"
"1972" "   -18.4" "   -19.2" "   -14.7" "    -4.7" "     5.8" "     8.8" "    12.9" "    11.6" "     6.5" "    -0.2" "    -4.8" "   -16.6" "    -2.8" "   -16.9" "    -4.5" "    11.1" "     0.5"
"1973" "   -15.5" "   -19.3" "    -3.9" "    -1.7" "     4.4" "    11.7" "    14.0" "    14.9" "     7.4" "     4.7" "    -4.4" "   -13.9" "    -0.1" "   -17.1" "    -0.4" "    13.5" "     2.6"
"1974" "   -16.9" "   -20.1" "   -12.1" "    -2.6" "     3.3" "    10.9" "    13.5" "    12.5" "     5.1" "    -0.3" "    -3.5" "    -9.0" "    -1.6" "   -17.0" "    -3.8" "    12.3" "     0.4"
"1975" "   -16.7" "   -14.3" "   -12.8" "    -5.7" "     9.1" "    12.4" "    14.4" "    13.2" "     6.5" "     2.7" "    -2.8" "   -15.5" "    -0.8" "   -13.3" "    -3.1" "    13.3" "     2.1"
"1976" "   -22.3" "   -15.6" "   -11.5" "    -1.1" "     3.9" "    12.7" "    13.1" "    11.8" "     6.1" "    -0.4" "    -7.3" "   -21.8" "    -2.7" "   -17.8" "    -2.9" "    12.5" "    -0.5"
"1977" "   -21.4" "   -15.0" "    -6.0" "    -1.6" "     7.2" "     9.0" "    13.6" "    10.5" "     8.4" "     1.0" "    -3.4" "   -13.3" "    -0.9" "   -19.4" "    -0.1" "    11.0" "     2.0"
"1978" "   -19.5" "   -17.8" "   -13.2" "    -4.1" "     7.3" "     8.4" "    12.6" "    12.0" "     6.3" "     0.4" "    -6.5" "   -14.9" "    -2.4" "   -16.9" "    -3.3" "    11.0" "     0.1"
"1979" "   -18.7" "   -22.7" "    -8.9" "    -2.1" "     5.1" "    10.1" "    13.7" "    11.2" "     6.7" "     1.6" "    -4.0" "   -11.0" "    -1.6" "   -18.8" "    -2.0" "    11.7" "     1.4"
"1980" "   -16.1" "   -18.4" "   -11.3" "    -0.7" "     6.1" "     7.8" "    13.1" "    14.1" "     6.1" "    -1.2" "    -6.2" "   -20.5" "    -2.3" "   -15.2" "    -2.0" "    11.7" "    -0.4"
"1981" "   -20.5" "   -11.5" "    -7.7" "    -1.6" "     4.0" "    10.0" "    13.6" "    13.2" "     7.0" "    -0.1" "    -4.1" "   -11.1" "    -0.7" "   -17.5" "    -1.8" "    12.3" "     0.9"
"1982" "   -26.0" "   -17.5" "   -11.2" "    -5.8" "     7.7" "     8.3" "    13.1" "    10.2" "     7.7" "     3.8" "    -4.4" "    -9.8" "    -2.0" "   -18.2" "    -3.1" "    10.5" "     2.4"
"1983" "   -16.4" "   -14.1" "    -8.9" "    -2.3" "     2.0" "    10.7" "    14.1" "    14.4" "     9.4" "     1.5" "    -4.6" "   -18.5" "    -1.1" "   -13.4" "    -3.1" "    13.1" "     2.1"
"1984" "   -21.6" "   -10.3" "   -13.4" "     0.4" "     3.0" "    10.8" "    12.9" "    13.4" "     5.7" "     3.0" "    -4.5" "   -13.3" "    -1.2" "   -16.8" "    -3.3" "    12.4" "     1.4"
"1985" "   -19.8" "   -15.7" "   -10.4" "    -2.7" "     4.8" "     7.7" "    11.3" "    11.6" "     8.6" "     1.9" "    -5.2" "   -17.7" "    -2.1" "   -16.3" "    -2.8" "    10.2" "     1.8"
"1986" "   -19.1" "   -16.9" "    -9.4" "     0.0" "     7.1" "     7.7" "    13.2" "    10.9" "     6.6" "     0.3" "    -7.0" "   -10.5" "    -1.4" "   -17.9" "    -0.8" "    10.6" "     0.0"
"1987" "   -14.7" "   -15.6" "    -8.2" "     1.2" "     5.3" "    11.2" "    14.4" "    11.5" "     8.8" "     0.1" "    -4.9" "    -9.3" "     0.0" "   -13.6" "    -0.6" "    12.4" "     1.3"
"1988" "   -17.7" "   -19.4" "   -12.3" "    -1.7" "     6.3" "     9.1" "    15.5" "    13.6" "     7.1" "     0.4" "    -2.8" "   -15.4" "    -1.4" "   -15.5" "    -2.6" "    12.7" "     1.6"
"1989" "   -16.0" "   -19.3" "   -13.6" "    -3.7" "     6.3" "    10.8" "    14.0" "    12.3" "     6.9" "     2.0" "    -9.6" "   -23.5" "    -2.8" "   -16.9" "    -3.7" "    12.4" "    -0.2"
"1990" "   -12.6" "   -16.5" "    -9.4" "    -0.7" "     4.1" "     9.6" "    13.0" "    12.6" "     6.9" "     0.4" "    -4.2" "   -12.6" "    -0.8" "   -17.5" "    -2.0" "    11.7" "     1.0"
"1991" "   -18.3" "   -14.5" "    -9.3" "    -0.2" "     7.1" "    12.1" "    13.8" "    13.1" "     6.2" "     1.9" "    -5.0" "   -13.7" "    -0.6" "   -15.1" "    -0.8" "    13.0" "     1.0"
"1992" "   -17.9" "   -16.8" "   -13.6" "    -2.7" "     3.6" "     8.4" "    10.2" "    10.7" "     6.5" "     0.5" "    -5.1" "   -11.7" "    -2.3" "   -16.1" "    -4.2" "     9.8" "     0.6"
"1993" "   -17.0" "   -21.1" "   -10.3" "    -2.0" "     5.0" "     9.9" "    14.1" "    13.8" "     4.6" "    -0.6" "    -7.6" "   -12.6" "    -2.0" "   -16.6" "    -2.4" "    12.6" "    -1.2"
"1994" "   -27.8" "   -20.0" "   -10.1" "    -3.1" "     3.8" "    11.4" "    13.6" "    10.6" "     8.7" "     3.4" "    -3.4" "    -8.1" "    -1.8" "   -20.1" "    -3.1" "    11.9" "     2.9"
"1995" "   -13.1" "   -19.7" "    -8.3" "    -4.4" "     4.8" "    12.4" "    13.8" "    14.0" "     5.2" "     3.6" "   -10.1" "   -16.3" "    -1.5" "   -13.6" "    -2.6" "    13.4" "    -0.4"
"1996" "   -20.2" "   -18.1" "   -13.0" "    -4.1" "     3.1" "    12.2" "    12.5" "    12.6" "     9.6" "     1.4" "    -6.9" "   -10.1" "    -1.8" "   -18.2" "    -4.7" "    12.4" "     1.4"
"1997" "   -21.4" "   -17.8" "   -13.0" "    -2.7" "     2.3" "    12.2" "    12.8" "    11.0" "     7.3" "     1.9" "    -5.8" "   -12.0" "    -2.1" "   -16.4" "    -4.5" "    12.0" "     1.1"
"1998" "   -15.2" "    -9.3" "    -9.1" "    -0.2" "     8.3" "    11.6" "    12.8" "    13.4" "     7.9" "     1.9" "    -2.1" "   -10.9" "     0.8" "   -12.2" "    -0.3" "    12.6" "     2.6"
"1999" "   -18.2" "   -12.4" "    -9.1" "    -0.4" "     7.7" "    12.1" "    15.0" "    11.4" "     9.3" "     0.7" "    -2.7" "   -10.4" "     0.3" "   -13.8" "    -0.6" "    12.8" "     2.4"
"2000" "   -19.2" "   -13.3" "    -5.6" "    -2.0" "     5.7" "     9.2" "    11.8" "    11.2" "     5.8" "     2.2" "    -4.3" "   -18.3" "    -1.4" "   -14.3" "    -0.6" "    10.7" "     1.2"
"2001" "   -15.1" "   -16.6" "    -9.8" "    -0.2" "     7.2" "    11.6" "    12.7" "    14.0" "     8.4" "     2.4" "    -1.0" "    -6.9" "     0.6" "   -16.7" "    -0.9" "    12.8" "     3.3"
"2002" "   -12.3" "   -15.2" "   -13.2" "    -2.0" "     2.9" "    11.0" "    14.2" "    12.9" "    10.6" "    -0.5" "    -7.3" "   -10.5" "    -0.8" "   -11.5" "    -4.1" "    12.7" "     0.9"
"2003" "   -20.4" "   -20.7" "   -11.7" "    -5.2" "     5.1" "    10.4" "    13.5" "    13.5" "     9.0" "     1.8" "    -3.2" "   -10.4" "    -1.5" "   -17.2" "    -3.9" "    12.5" "     2.5"
"2004" "   -23.0" "   -14.2" "    -8.4" "    -2.9" "     4.3" "     8.9" "    13.0" "    10.5" "     9.7" "     3.1" "    -3.3" "   -15.4" "    -1.5" "   -15.9" "    -2.3" "    10.8" "     3.2"
"2005" "   -20.3" "   -13.3" "   -11.3" "     0.1" "     5.0" "    13.8" "    14.4" "    13.7" "    10.1" "     4.8" "    -4.9" "   -13.0" "    -0.1" "   -16.3" "    -2.1" "    14.0" "     3.3"
