" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1913" " NA" " NA" " NA" "    -5.5" "    -0.4" "     5.9" "     8.3" "     8.8" "     3.6" "     0.5" "    -5.0" "   -14.4" " NA" " NA" " NA" "     7.7" "    -0.3"
"1914" "   -22.3" "   -27.5" "   -17.3" "    -8.6" " NA" " NA" " NA" " NA" " NA" " NA" "   -11.7" "   -20.2" " NA" "   -21.4" " NA" " NA" " NA"
"1915" "   -20.8" "   -20.3" "   -17.2" "    -2.2" "    -0.1" "     6.4" "     8.1" "     8.6" "     5.9" "     1.3" "    -4.9" "   -15.1" "    -4.2" "   -20.4" "    -6.5" "     7.7" "     0.8"
"1916" "   -22.8" "   -27.6" "   -19.9" "    -4.3" "     1.9" "     8.0" "    12.7" "    11.4" "     5.1" "    -1.0" "   -10.2" "   -22.3" "    -5.8" "   -21.8" "    -7.4" "    10.7" "    -2.0"
"1917" "   -29.7" "   -29.1" "   -17.9" "    -6.1" "    -0.6" "     5.9" "    10.3" "     7.1" "     3.0" "    -4.9" "   -10.4" "   -28.7" "    -8.4" "   -27.0" "    -8.2" "     7.8" "    -4.1"
"1918" "   -30.5" "   -27.6" "   -19.9" "    -8.4" "     1.4" "     3.6" "     9.7" "     8.5" "     2.0" "     1.3" "    -6.4" "   -16.1" "    -6.9" "   -28.9" "    -9.0" "     7.3" "    -1.0"
"1919" "   -18.7" "   -16.4" "   -15.2" "    -7.4" "     2.8" "    10.7" "    11.9" "     9.9" "     4.4" "    -2.8" "   -10.6" "   -23.3" "    -4.6" "   -17.1" "    -6.6" "    10.8" "    -3.0"
"1920" "   -28.6" " NA" "   -15.7" "    -4.3" "     2.7" "     8.0" "     9.3" "     9.5" "     6.6" "     3.1" "    -9.4" "   -12.6" " NA" " NA" "    -5.8" "     8.9" "     0.1"
"1921" "   -21.3" "   -21.6" "   -15.3" "    -3.7" "     5.4" "    12.5" "    15.9" "     9.9" "     7.4" "     0.7" "   -10.7" "   -17.4" "    -3.2" "   -18.5" "    -4.5" "    12.8" "    -0.9"
"1922" "   -24.9" "   -22.5" "   -12.3" "    -3.1" "     6.2" "     8.4" "    10.1" "     9.4" "     4.8" "    -4.3" "    -7.5" "   -23.1" "    -4.9" "   -21.6" "    -3.1" "     9.3" "    -2.3"
"1923" "   -29.1" "   -27.8" "   -23.2" "    -9.2" "     2.0" "     7.3" "     9.3" "     8.2" "     4.7" "     0.0" "    -6.8" "   -12.7" "    -6.4" "   -26.7" "   -10.1" "     8.3" "    -0.7"
"1924" "   -28.5" "   -23.8" "   -12.1" "    -6.3" "    -0.1" "     6.0" "     9.8" "     9.5" "     4.6" "     0.4" "   -10.9" "   -25.2" "    -6.4" "   -21.7" "    -6.2" "     8.4" "    -2.0"
"1925" "   -29.1" "   -20.8" "   -16.9" "    -5.7" "    -2.1" "     8.0" "     9.1" "     9.7" "     3.4" "    -4.0" "    -9.5" "   -16.5" "    -6.2" "   -25.0" "    -8.2" "     8.9" "    -3.4"
"1926" "   -24.9" "   -24.3" "   -19.2" "    -9.9" "     0.8" "     5.8" "     9.2" "     9.1" "     4.2" "    -0.5" "   -11.2" "   -18.3" "    -6.6" "   -21.9" "    -9.4" "     8.0" "    -2.5"
"1927" "   -25.3" "   -21.6" "   -11.8" "    -6.7" "    -0.9" "     6.5" "     9.6" "     6.8" "     5.6" "     0.0" "   -11.4" "   -21.0" "    -5.9" "   -21.7" "    -6.5" "     7.6" "    -1.9"
"1928" "   -23.3" "   -25.9" "   -16.8" "    -8.4" "     2.3" "     6.0" "    10.9" "    10.5" "     1.8" "    -0.5" "    -7.9" "   -12.2" "    -5.3" "   -23.4" "    -7.6" "     9.1" "    -2.2"
"1929" "   -28.0" "   -24.9" "   -16.2" "    -5.7" "    -0.1" "     7.0" "    10.1" "     7.8" "     4.3" "    -1.5" "   -11.4" "   -22.0" "    -6.7" "   -21.7" "    -7.3" "     8.3" "    -2.9"
"1930" "   -26.5" "   -24.4" "   -16.0" "    -6.8" "     2.7" "     9.7" "     9.5" "     9.8" "     4.7" "     0.5" "    -5.7" "   -16.0" "    -4.9" "   -24.3" "    -6.7" "     9.7" "    -0.2"
"1931" "   -24.3" "   -20.8" "   -13.5" "    -5.4" "     2.4" "     9.2" "    12.7" "     8.6" "     6.7" "     1.9" "    -4.5" "   -15.8" "    -3.6" "   -20.4" "    -5.5" "    10.2" "     1.4"
"1932" "   -18.2" "   -23.1" "   -17.7" "    -8.1" "     1.0" "     6.3" "     6.8" "     8.7" "     3.8" "    -3.2" "   -12.9" "   -18.9" "    -6.3" "   -19.0" "    -8.3" "     7.3" "    -4.1"
"1933" "   -22.3" "   -23.0" "   -17.1" "    -5.2" "     0.6" "     6.6" "     8.5" "     7.7" "     4.4" "    -2.4" "   -18.5" "   -27.9" "    -7.4" "   -21.4" "    -7.2" "     7.6" "    -5.5"
"1934" "   -24.3" "   -34.9" "   -19.5" "    -5.9" "     0.9" "     8.3" "     9.7" "     6.7" "     5.8" "    -2.9" "    -5.7" "   -23.2" "    -7.1" "   -29.0" "    -8.2" "     8.2" "    -0.9"
"1935" "   -32.2" "   -23.6" "   -19.4" "    -6.6" "     0.2" "     7.6" "    13.3" "    10.7" "     3.5" "    -2.7" "   -12.4" "   -18.7" "    -6.7" "   -26.3" "    -8.6" "    10.5" "    -3.9"
"1936" "   -25.3" "   -27.8" "   -11.7" "    -6.8" "     0.7" "     5.4" "    10.4" "     9.0" "     6.0" "    -4.2" "   -16.7" "   -20.0" "    -6.8" "   -23.9" "    -5.9" "     8.3" "    -5.0"
