" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1866" " NA" " NA" " NA" "    -0.9" "     0.6" "     9.1" "    12.7" "     7.6" "     4.1" "     1.2" "    -4.1" "   -14.6" " NA" " NA" " NA" "     9.8" "     0.4"
"1867" "   -20.1" "   -12.8" "   -12.5" "    -3.1" "     0.9" "     9.8" "     9.7" "     9.9" "     4.1" "    -0.3" "    -6.8" "   -19.6" "    -3.4" "   -15.8" "    -4.9" "     9.8" "    -1.0"
"1868" "   -19.9" "   -23.0" "    -9.6" "    -5.7" "     4.0" "     8.1" "    14.1" "     9.7" "     3.6" "    -4.4" "    -5.8" "   -17.9" "    -3.9" "   -20.8" "    -3.8" "    10.6" "    -2.2"
"1869" "   -14.6" "   -16.5" "   -17.7" "    -4.7" "     2.1" "     5.7" "     8.2" "     6.6" "     4.0" "    -5.0" "   -10.0" "   -13.4" "    -4.6" "   -16.3" "    -6.8" "     6.8" "    -3.7"
"1870" "   -19.5" "   -19.9" "   -15.2" "    -3.1" "     2.6" "     8.9" "     8.4" "     6.1" "     2.5" "    -1.9" "   -10.5" "   -18.3" "    -5.0" "   -17.6" "    -5.2" "     7.8" "    -3.3"
"1871" "   -24.3" "   -18.8" "    -7.2" "    -2.5" "     2.0" "     4.5" "     6.0" "     6.2" "    -1.2" "    -3.3" "   -12.8" "   -23.4" "    -6.2" "   -20.5" "    -2.6" "     5.6" "    -5.8"
"1872" "   -18.2" "   -18.3" "   -18.3" "    -4.7" "     3.0" "    10.2" "    13.1" "    12.8" "     6.8" "    -1.7" "    -7.5" "   -19.9" "    -3.6" "   -20.0" "    -6.7" "    12.0" "    -0.8"
"1873" "   -20.1" "   -18.9" "   -13.7" "    -3.4" "     2.1" "     8.2" "    10.9" "     9.4" "     4.1" "    -1.5" "   -12.8" "   -12.3" "    -4.0" "   -19.6" "    -5.0" "     9.5" "    -3.4"
"1874" "   -15.8" "   -19.4" "   -12.8" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -15.8" " NA" " NA" " NA"
"1875" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1876" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1877" "   -20.4" "    -9.8" "   -12.3" "    -2.6" "     3.5" "     6.6" "    11.1" " NA" "     6.0" "     1.4" "    -5.2" "    -7.4" " NA" " NA" "    -3.8" " NA" "     0.7"
"1878" " NA" "   -12.5" "    -4.8" "     2.4" "     3.3" "     6.4" "    14.0" "    11.2" "     7.9" "     1.6" "    -4.6" "   -12.7" " NA" " NA" "     0.3" "    10.5" "     1.6"
"1879" "   -18.2" "   -21.4" "   -12.6" "    -3.8" "     2.9" "     8.4" "    11.2" "     8.9" "     3.7" "     4.4" "    -7.3" "   -13.0" "    -3.1" "   -17.4" "    -4.5" "     9.5" "     0.3"
"1880" "    -9.4" "   -12.2" " NA" "    -3.0" "     6.2" "     9.2" "    10.9" " NA" " NA" "    -1.4" "    -9.1" "   -15.9" " NA" "   -11.5" " NA" " NA" " NA"
"1881" "   -21.3" "   -17.8" "    -8.0" "    -3.4" "     6.6" "     6.8" " NA" "    11.7" "    10.8" "    -0.3" "    -5.6" "    -6.8" " NA" "   -18.3" "    -1.6" " NA" "     1.6"
"1882" "   -16.0" "   -10.3" "    -9.0" "    -3.4" "     1.1" "     7.4" "     9.6" "    11.3" "     7.1" "     1.9" "    -6.2" "   -14.3" "    -1.7" "   -11.0" "    -3.8" "     9.4" "     0.9"
"1883" "   -20.8" "   -18.8" "   -17.2" "    -4.7" "     2.1" "    10.4" "    10.4" "     9.2" "     4.6" "     1.0" "    -3.6" "   -12.3" "    -3.3" "   -18.0" "    -6.6" "    10.0" "     0.7"
"1884" "   -19.3" "   -15.6" "   -10.7" "    -1.2" "     4.3" "    10.8" "    10.7" "    10.4" "     8.5" "     1.8" "    -5.9" "   -13.1" "    -1.6" "   -15.7" "    -2.5" "    10.6" "     1.5"
