" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1880" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1881" "   -25.5" "   -17.1" "    -5.9" "    -5.1" "     3.1" "     5.2" " NA" " NA" " NA" "    -4.3" "    -9.5" "   -16.5" " NA" " NA" "    -2.6" " NA" " NA"
"1882" "   -23.0" " NA" "   -17.9" "    -9.6" "    -0.1" " NA" "    10.3" "    10.2" " NA" "     0.6" "    -7.4" "   -16.6" " NA" " NA" "    -9.2" " NA" " NA"
"1883" " NA" "   -24.8" " NA" "    -7.0" " NA" "     8.9" "     8.6" "     9.9" "     4.3" "    -1.8" "    -5.9" "   -22.0" " NA" " NA" " NA" "     9.1" "    -1.1"
"1884" "   -28.9" "   -21.6" "   -17.4" "    -2.7" "     1.6" " NA" "    13.0" "    14.7" " NA" " NA" " NA" "   -18.8" " NA" "   -24.2" "    -6.2" " NA" " NA"
"1885" "   -26.5" "   -20.9" "   -22.0" "    -6.0" "     2.0" "     6.5" "    12.7" "     9.1" "     4.2" "     0.0" "    -6.7" "   -18.2" "    -5.5" "   -22.1" "    -8.7" "     9.4" "    -0.8"
"1886" "   -20.0" "   -23.3" "   -16.7" "    -4.6" "     2.7" "     8.5" "    10.7" "    10.4" "     4.7" "    -1.6" "    -6.9" "   -22.2" "    -4.9" "   -20.5" "    -6.2" "     9.9" "    -1.3"
"1887" "   -23.4" "   -25.3" "   -16.2" "    -6.7" "     3.3" "    10.4" "    12.9" "     8.9" "     5.0" "    -0.9" "    -9.1" "   -18.5" "    -5.0" "   -23.6" "    -6.5" "    10.7" "    -1.7"
"1888" "   -26.7" " NA" "   -13.4" "    -7.5" "     1.8" "     8.4" "    11.0" "     8.9" "     4.8" "    -2.4" "    -9.6" "   -17.3" " NA" " NA" "    -6.4" "     9.4" "    -2.4"
"1889" "   -17.8" "   -22.5" "   -10.5" "    -4.6" "     3.5" "     7.1" "    11.2" "     8.9" "     7.4" "    -2.8" "    -6.5" "   -18.5" "    -3.8" "   -19.2" "    -3.9" "     9.1" "    -0.6"
"1890" "   -22.2" " NA" "   -13.5" "    -8.6" "    -1.0" "     5.8" "    10.3" "     9.2" "     3.5" "    -0.9" "    -4.9" "   -24.9" " NA" " NA" "    -7.7" "     8.4" "    -0.8"
"1891" "   -27.4" "   -23.7" "   -12.1" "    -4.2" "     0.2" "     7.8" "    10.7" "     9.0" "     6.7" "    -1.0" "    -6.9" "   -11.2" "    -4.3" "   -25.3" "    -5.4" "     9.2" "    -0.4"
"1892" "   -21.7" "   -18.5" "   -13.9" "    -5.2" "     1.4" "     7.6" "    10.6" "     9.9" "     6.5" "    -0.8" "    -6.8" "   -16.5" "    -4.0" "   -17.1" "    -5.9" "     9.4" "    -0.4"
