" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1925" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -8.3" "   -17.4" " NA" " NA" " NA" " NA" " NA"
"1926" "   -31.8" "   -32.6" "   -27.9" "   -17.2" "    -7.2" "     0.5" "     2.8" "     4.6" "     4.5" "     0.4" "   -10.4" "   -19.4" "   -11.1" "   -27.3" "   -17.4" "     2.6" "    -1.8"
"1927" "   -24.6" "   -24.5" "   -19.2" "    -9.5" "    -2.4" "     1.8" "     5.4" "     4.9" "     5.1" "     0.5" "    -8.8" "   -19.9" "    -7.6" "   -22.8" "   -10.4" "     4.0" "    -1.1"
"1928" "   -30.9" "   -27.9" "   -23.1" "   -17.0" "    -1.5" "     0.9" "     4.3" "     6.5" "     2.6" "    -0.6" "    -6.3" "   -12.7" "    -8.8" "   -26.2" "   -13.9" "     3.9" "    -1.4"
"1929" "   -27.8" "   -28.4" "   -26.0" "   -15.9" "    -5.4" "     0.6" "     1.7" "     4.1" "     1.7" "    -1.4" "   -11.1" "   -26.5" "   -11.2" "   -23.0" "   -15.8" "     2.1" "    -3.6"
"1930" "   -31.1" "   -29.2" "   -20.4" "   -13.2" "    -2.5" "     2.2" "     3.9" "     7.5" "     5.6" "     1.6" "    -5.3" "   -17.1" "    -8.2" "   -28.9" "   -12.0" "     4.5" "     0.6"
"1931" "   -29.8" "   -26.0" "   -19.3" "   -11.3" "    -4.9" "     1.7" "     9.3" "     8.1" "     3.5" "     0.8" "    -5.5" "   -17.6" "    -7.6" "   -24.3" "   -11.8" "     6.4" "    -0.4"
"1932" "   -22.7" "   -29.7" "   -22.9" "   -12.0" "    -5.7" "    -0.5" "     2.3" "     6.4" "     4.4" "    -2.0" "   -10.2" "   -22.9" "    -9.6" "   -23.3" "   -13.5" "     2.7" "    -2.6"
"1933" "   -28.8" "   -28.8" "   -22.9" "    -8.1" "    -6.3" "    -0.3" "     4.6" "     6.3" "     5.1" "    -1.1" "   -14.7" "   -29.5" "   -10.4" "   -26.8" "   -12.4" "     3.5" "    -3.6"
"1934" "   -31.2" "   -33.7" "   -26.6" "    -9.8" "    -6.0" "     0.4" "     3.5" "     3.2" "     4.0" "    -0.6" "    -6.0" "   -21.0" "   -10.3" "   -31.5" "   -14.1" "     2.4" "    -0.9"
"1935" "   -34.5" "   -27.6" "   -28.0" "   -10.5" "    -3.0" "     4.1" "     6.1" "     9.5" "     5.2" "    -1.0" "   -11.1" "   -20.5" "    -9.3" "   -27.7" "   -13.8" "     6.6" "    -2.3"
"1936" "   -29.7" "   -27.4" "   -16.2" "   -13.8" "    -6.6" "    -0.6" "     4.1" "     4.2" "     4.0" "    -3.0" "   -14.2" "   -22.8" "   -10.2" "   -25.9" "   -12.2" "     2.6" "    -4.4"
"1937" " NA" "   -21.6" "   -20.7" " NA" "    -2.9" "     4.4" "     6.2" "     7.7" "     3.8" "     1.1" " NA" "   -17.7" " NA" " NA" " NA" "     6.1" " NA"
"1938" "   -26.1" "   -29.1" " NA" " NA" " NA" " NA" " NA" " NA" "     4.9" "     1.2" "    -8.1" "   -16.3" " NA" "   -24.3" " NA" " NA" "    -0.7"
"1939" "   -27.1" " NA" "   -31.4" "   -12.7" " NA" " NA" " NA" " NA" "     2.8" "    -3.1" "    -6.4" "   -18.7" " NA" " NA" " NA" " NA" "    -2.2"
"1940" "   -20.7" "   -27.5" "   -21.8" "   -12.7" " NA" " NA" "     5.7" "     7.1" "     5.3" "    -1.5" "    -7.6" "   -23.3" " NA" "   -22.3" " NA" " NA" "    -1.3"
"1941" " NA" " NA" " NA" "   -13.5" "    -3.3" "    -0.4" "     5.5" " NA" "     2.8" "    -1.3" "    -7.4" "   -19.5" " NA" " NA" " NA" " NA" "    -2.0"
"1942" "   -31.4" "   -27.2" "   -15.8" "    -9.0" "    -3.5" "     2.3" "     4.4" "     6.3" "     3.1" "    -0.1" "    -8.0" "   -22.1" "    -8.4" "   -26.0" "    -9.4" "     4.3" "    -1.7"
"1943" "   -26.9" "   -27.7" "   -25.1" "   -12.7" "    -3.3" "    -0.8" "     4.5" "     7.2" "     5.4" "    -0.5" "    -6.9" "   -23.4" "    -9.2" "   -25.6" "   -13.7" "     3.6" "    -0.7"
"1944" "   -20.8" "   -31.5" "   -24.3" "   -12.4" "    -4.0" "     0.3" "     5.7" "     8.3" "     6.3" "    -1.8" "    -9.6" "   -17.3" "    -8.4" "   -25.2" "   -13.6" "     4.8" "    -1.7"
"1945" "   -31.1" "   -24.3" "   -16.1" "   -12.7" "    -3.6" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -24.2" "   -10.8" " NA" " NA"
"1946" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    -1.8" "    -8.6" "   -23.5" " NA" " NA" " NA" " NA" " NA"
"1947" "   -29.0" " NA" "   -18.2" "   -19.1" "    -6.7" "     0.3" " NA" " NA" " NA" " NA" "    -4.0" "   -16.1" " NA" " NA" "   -14.7" " NA" " NA"
"1948" "   -25.4" "   -28.9" "   -26.3" "   -14.3" "    -1.9" "     3.2" "     8.1" "     8.1" "     5.7" "     1.9" "    -6.0" "   -13.1" "    -7.4" "   -23.5" "   -14.2" "     6.5" "     0.5"
"1949" "   -23.7" "   -30.2" " NA" " NA" "    -3.9" "     3.2" "     4.7" "     5.6" "     4.0" "    -0.5" "    -8.8" "   -16.5" " NA" "   -22.3" " NA" "     4.5" "    -1.8"
"1950" "   -31.8" "   -31.9" "   -23.7" "   -14.1" "    -3.2" "     0.0" "     3.6" " NA" "     2.7" "    -1.2" "    -8.2" "   -16.7" " NA" "   -26.7" "   -13.7" " NA" "    -2.2"
"1951" "   -29.8" "   -24.6" "   -15.8" "    -5.0" "    -2.0" "     3.5" "     4.6" "     6.8" " NA" "    -1.8" "   -11.4" "   -21.3" " NA" "   -23.7" "    -7.6" "     5.0" " NA"
