"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1914" " NA" " NA" "    -6.5" "    -5.9" "     7.2" "     9.7" "    15.1" "    14.0" " NA" " NA" " NA" " NA" " NA" " NA" "    -1.7" "    12.9" " NA"
"1915" " NA" "   -16.1" "   -12.8" "    -2.4" "     1.7" "     7.9" "    11.2" "     9.2" "     5.9" "    -0.1" "    -5.1" "    -7.7" " NA" " NA" "    -4.5" "     9.4" "     0.2"
"1916" "   -14.5" "   -17.0" "   -13.6" "     0.2" "     6.6" "    13.4" "    16.4" "    16.6" "    10.0" " NA" " NA" "   -11.5" " NA" "   -13.1" "    -2.3" "    15.5" " NA"
"1917" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "     5.7" "     0.7" " NA" "    -8.5" " NA" " NA" " NA" " NA" " NA"
"1918" " NA" " NA" " NA" "    -3.1" "     3.8" "     6.3" " NA" "    12.9" " NA" "    -2.2" " NA" "   -19.8" " NA" " NA" " NA" " NA" " NA"
"1919" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1920" "   -25.6" "   -17.0" "   -10.6" "    -3.0" "     3.4" "     7.8" "    11.3" "    12.1" "     6.6" "     2.4" " NA" "   -11.8" " NA" " NA" "    -3.4" "    10.4" " NA"
"1921" "   -18.6" "   -22.5" "   -10.5" "    -2.3" "     2.8" "     8.5" "    17.1" "     9.7" "     5.1" "     1.5" " NA" "   -15.8" " NA" "   -17.6" "    -3.3" "    11.8" " NA"
"1922" "   -21.6" "   -21.6" "   -10.6" "    -0.5" "     3.2" "    11.0" "    11.1" "    10.1" "     4.2" "     0.2" " NA" " NA" " NA" "   -19.7" "    -2.6" "    10.7" " NA"
"1923" "   -20.3" "   -25.6" "   -19.1" "    -6.1" "     1.3" "     5.6" "     9.6" " NA" "     7.0" " NA" " NA" "    -7.4" " NA" " NA" "    -8.0" " NA" " NA"
"1924" "   -19.1" "   -21.7" "    -7.9" "    -4.0" "     2.4" " NA" "    10.0" "     9.5" "     6.1" " NA" " NA" "   -16.4" " NA" "   -16.1" "    -3.2" " NA" " NA"
"1925" "   -24.2" "   -13.3" " NA" "    -3.9" "     2.2" "     9.4" "    11.0" " NA" "     5.4" "    -0.8" "    -3.6" "   -14.0" " NA" "   -18.0" " NA" " NA" "     0.3"
"1926" "   -18.6" "   -18.7" "   -15.7" "    -7.1" "     2.5" " NA" "     9.7" " NA" "     5.9" " NA" " NA" "   -14.1" " NA" "   -17.1" "    -6.8" " NA" " NA"
"1927" "   -15.4" "   -18.5" "   -10.3" "    -4.0" "     2.7" " NA" "    13.7" " NA" "     6.2" "     4.5" "    -3.4" "    -9.7" " NA" "   -16.0" "    -3.9" " NA" "     2.4"
"1928" "   -17.9" "   -19.7" "   -11.1" "    -4.0" "     4.9" "     7.8" "    13.6" "    11.3" " NA" "     1.6" " NA" "   -10.6" " NA" "   -15.8" "    -3.4" "    10.9" " NA"
"1929" "   -18.2" "   -19.1" "   -11.4" "    -4.2" "     2.9" "     9.3" "    11.5" "    10.1" "     6.9" "     0.7" "    -5.6" "   -17.6" "    -2.9" "   -16.0" "    -4.2" "    10.3" "     0.7"
"1930" "   -21.8" "   -22.7" "   -10.8" "    -3.7" "     3.8" "    13.9" "    12.0" "    10.9" "     7.0" "     1.7" "    -4.0" "   -13.5" "    -2.3" "   -20.7" "    -3.6" "    12.3" "     1.6"
"1931" "   -22.5" "   -19.0" "    -4.2" "    -0.7" "     4.7" "     9.4" "    14.8" "    11.8" "     7.3" "     2.3" "    -1.6" "   -12.0" "    -0.8" "   -18.3" "    -0.1" "    12.0" "     2.7"
"1932" "   -14.3" "   -19.8" "   -11.9" "    -1.5" "     3.4" "     7.9" "    12.1" "    13.5" "     8.5" "     3.7" "    -6.2" "   -11.4" "    -1.3" "   -15.4" "    -3.3" "    11.2" "     2.0"
"1933" "   -14.0" "   -15.9" "   -13.4" "    -1.4" "     2.7" "     9.2" "    11.7" "    11.6" "     7.5" "     1.9" "   -11.8" "   -22.9" "    -2.9" "   -13.8" "    -4.0" "    10.8" "    -0.8"
"1934" "   -24.8" "   -27.1" "   -14.4" "    -1.4" "     3.9" "     9.0" "    11.7" "     9.4" "    10.2" "     1.3" "    -3.9" "   -16.4" "    -3.5" "   -24.9" "    -4.0" "    10.0" "     2.5"
"1935" "   -23.1" "   -24.2" "   -15.5" "    -2.8" "     3.1" "    11.2" "    13.1" "    11.9" "     5.3" "     0.7" "    -3.9" "   -12.7" "    -3.1" "   -21.2" "    -5.1" "    12.1" "     0.7"
"1936" "   -18.7" "   -22.5" "    -6.9" "    -1.5" "     3.7" "    10.6" "    11.2" "     9.6" "     6.6" "     1.0" "    -7.7" "   -15.3" "    -2.5" "   -18.0" "    -1.6" "    10.5" "     0.0"
"1937" "   -15.9" "   -14.9" "   -13.9" "    -2.7" "     5.1" "    10.7" "    14.0" "    13.9" "     7.3" "     1.1" "    -4.4" "   -15.3" "    -1.3" "   -15.4" "    -3.8" "    12.9" "     1.3"
"1938" "   -21.5" "   -20.6" "   -15.7" "    -2.2" "     2.7" "    10.2" "    13.5" "    12.8" "     5.8" "     0.6" "    -7.2" "   -11.9" "    -2.8" "   -19.1" "    -5.1" "    12.2" "    -0.3"
"1939" "   -20.6" "   -22.9" "   -20.2" "    -4.4" "     1.1" "     7.2" "    13.1" "    12.9" "     5.9" "     0.3" "    -7.2" "   -12.1" "    -3.9" "   -18.5" "    -7.8" "    11.1" "    -0.3"
"1940" "   -19.5" "   -20.0" "   -11.6" "    -3.7" "     5.5" "     8.7" " NA" " NA" " NA" "    -2.1" " NA" "   -15.9" " NA" "   -17.2" "    -3.3" " NA" " NA"
"1941" "   -20.8" "   -14.9" "   -12.7" " NA" "     2.2" " NA" " NA" " NA" " NA" "    -0.7" "    -5.4" "   -12.6" " NA" "   -17.2" " NA" " NA" " NA"
"1942" "   -19.4" "   -17.3" "    -6.4" "    -3.1" "     5.5" "    10.0" "    10.5" "    10.1" "     6.2" "     0.2" "    -6.6" " NA" " NA" "   -16.4" "    -1.3" "    10.2" "    -0.1"
"1943" " NA" "   -15.9" "   -13.8" "    -6.2" "     1.7" "     7.9" " NA" " NA" " NA" " NA" "    -4.3" "   -14.8" " NA" " NA" "    -6.1" " NA" " NA"
"1944" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1945" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1946" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1947" "   -19.0" "   -13.3" "    -8.7" "    -6.7" "     2.7" "     7.0" "    15.1" "    10.7" "     5.1" "     1.8" "    -4.8" "   -15.9" "    -2.2" " NA" "    -4.2" "    10.9" "     0.7"
"1948" "   -19.1" "   -25.2" "   -14.7" "    -3.4" "     3.3" "     7.2" "    11.0" "    12.4" "     5.8" "    -0.2" "    -1.3" "   -11.0" "    -2.9" "   -20.1" "    -4.9" "    10.2" "     1.4"
"1949" "   -15.7" "   -19.0" "   -11.1" "    -1.4" "     2.8" "    10.2" "    12.7" "    10.9" "     6.8" "     1.3" "    -7.6" "   -11.4" "    -1.8" "   -15.2" "    -3.2" "    11.3" "     0.2"
"1950" "   -15.2" "   -20.1" "   -13.9" "    -2.8" "     2.6" "     8.8" "    11.5" "     9.7" "     4.1" "     1.3" "    -1.9" "   -10.0" "    -2.2" "   -15.6" "    -4.7" "    10.0" "     1.2"
"1951" "   -14.4" "   -15.2" "    -9.1" "     0.5" "     3.5" "     7.5" "    11.6" "    10.9" "     7.2" "     1.2" "    -5.9" "   -13.6" "    -1.3" "   -13.2" "    -1.7" "    10.0" "     0.8"
"1952" "   -17.8" "   -13.2" "    -7.5" "    -2.1" "     3.7" "     9.5" "    13.2" "    10.2" "     6.8" "    -0.2" "    -4.6" "   -11.2" "    -1.1" "   -14.9" "    -2.0" "    11.0" "     0.7"
"1953" "   -14.0" "   -13.1" "    -8.0" "     0.0" "     3.0" "     8.2" "    11.0" "    10.0" "     7.3" "     0.3" "    -1.6" "    -9.2" "    -0.5" "   -12.8" "    -1.7" "     9.7" "     2.0"
