"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1871" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "   -15.6" " NA" " NA" " NA" " NA" " NA"
"1872" "   -14.3" "   -14.1" "   -13.8" "    -0.8" "     5.1" "    11.8" "    13.8" "    13.8" "     9.9" "     2.5" "    -2.8" "   -16.8" "    -0.5" "   -14.7" "    -3.2" "    13.1" "     3.2"
"1873" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"1874" "   -11.9" "   -14.1" "    -8.5" "    -4.7" "     3.5" "     8.9" "    13.0" "    11.0" "     8.3" " NA" "    -5.2" " NA" " NA" " NA" "    -3.2" "    11.0" " NA"
"1875" "   -20.8" "   -19.5" "   -12.6" "    -3.6" "     3.2" "     9.1" "    12.6" "    14.2" "     6.2" "     1.0" "    -8.4" "   -14.8" "    -2.8" " NA" "    -4.3" "    12.0" "    -0.4"
"1876" "   -17.1" "   -15.8" "    -9.5" "    -2.1" "     2.3" "    10.4" "    12.3" "    11.7" "     6.2" "     0.7" "    -0.8" "   -15.4" "    -1.4" "   -15.9" "    -3.1" "    11.5" "     2.0"
"1877" "   -21.0" "   -13.6" "   -10.5" "    -0.5" "     3.8" "    10.8" "    13.3" "    13.5" "     8.0" "     0.5" "    -3.5" "   -11.8" "    -0.9" "   -16.7" "    -2.4" "    12.5" "     1.7"
"1878" "   -16.1" "   -15.3" "    -7.0" "     1.5" "     5.4" "    10.0" "    12.9" "    13.2" "     9.0" "     3.9" "    -2.8" "   -10.3" "     0.4" "   -14.4" "     0.0" "    12.0" "     3.4"
"1879" "   -17.9" "   -15.6" "   -10.9" "    -3.1" "     4.9" "     8.5" "    10.8" "    10.9" "     7.4" "     2.6" "    -5.1" "   -16.7" "    -2.0" "   -14.6" "    -3.0" "    10.1" "     1.6"
"1880" "   -16.2" "   -16.6" "   -14.1" "    -3.4" "     4.8" "     9.4" "    12.9" "    11.3" "     9.7" "     2.5" "    -8.1" "   -13.3" "    -1.8" "   -16.5" "    -4.2" "    11.2" "     1.4"
"1881" "   -19.1" "   -14.8" "    -4.2" "    -3.1" "     4.5" "     7.1" "    12.5" "    13.9" "     9.1" "     0.6" "    -4.9" "    -8.8" "    -0.6" "   -15.7" "    -0.9" "    11.2" "     1.6"
"1882" "   -18.0" "   -15.6" "    -9.9" "    -5.8" "     1.6" "     9.6" "    13.1" "    11.4" "     8.5" "     2.3" "    -4.5" "   -14.5" "    -1.8" "   -14.1" "    -4.7" "    11.4" "     2.1"
"1883" "   -22.3" "   -19.5" "   -13.8" "    -3.8" "     3.7" "    10.4" "    11.6" "    10.8" "     5.7" "    -0.6" "    -4.8" "   -14.6" "    -3.1" "   -18.8" "    -4.6" "    10.9" "     0.1"
"1884" "   -20.4" "   -16.1" "   -10.9" "     0.2" "     2.9" "     9.2" "    11.6" "    13.0" "     6.7" "     0.2" "    -4.8" "   -13.3" "    -1.8" "   -17.0" "    -2.6" "    11.3" "     0.7"
"1885" "   -17.6" "   -19.6" "   -16.1" "    -2.3" "     3.5" "     9.1" "    12.7" "    10.8" "     5.6" "     2.6" "    -3.6" "   -12.1" "    -2.3" "   -16.8" "    -5.0" "    10.9" "     1.5"
"1886" "   -14.4" "   -14.7" "    -9.7" "    -1.6" "     4.2" "     9.6" "    12.8" "    11.8" "     6.0" "     0.3" "    -2.4" "   -15.0" "    -1.1" "   -13.7" "    -2.4" "    11.4" "     1.3"
"1887" "   -20.1" "   -18.7" "    -9.3" "    -3.6" "     4.8" "     9.2" "    15.0" "    11.1" "     6.5" "     1.3" "    -5.0" "   -11.1" "    -1.7" "   -17.9" "    -2.7" "    11.8" "     0.9"
"1888" "   -20.1" "   -15.6" "    -6.8" "    -3.3" "     3.7" "     9.4" "    11.4" "    11.4" "     7.1" "     1.0" "    -4.7" "   -10.9" "    -1.5" "   -15.6" "    -2.1" "    10.7" "     1.1"
"1889" "   -11.7" "   -18.2" "    -6.4" "     0.6" "     6.6" "    11.4" "    12.8" "    12.5" "     9.8" "     1.5" "    -2.2" "   -11.7" "     0.4" "   -13.6" "     0.3" "    12.2" "     3.0"
"1890" "   -18.1" "   -16.6" "    -7.5" "    -2.5" "     5.1" "     8.5" "    12.4" "    12.5" "     8.2" "     1.6" "    -4.7" "   -19.2" "    -1.7" "   -15.5" "    -1.6" "    11.1" "     1.7"
"1891" "   -14.6" "   -15.8" "    -8.7" "    -1.5" "     3.5" "     9.4" "    12.1" "    12.3" "     9.0" "     1.5" "    -3.8" "    -7.1" "    -0.3" "   -16.5" "    -2.2" "    11.3" "     2.2"
"1892" "   -13.1" "   -12.0" "    -8.6" "    -1.0" "     3.4" "     9.1" "    12.0" "    12.5" "     7.1" "     1.3" "    -2.8" "   -12.2" "    -0.4" "   -10.7" "    -2.1" "    11.2" "     1.9"
