" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1874" "    -7.2" "   -10.9" "    -6.8" "    -5.7" "     0.4" "     3.3" "     9.2" "    10.6" "     7.5" "     4.9" "    -1.4" "    -5.6" "    -0.1" " NA" "    -4.0" "     7.7" "     3.7"
"1875" "   -12.5" "   -14.1" "   -11.4" "    -4.5" "    -0.6" "     6.5" "     8.6" "    11.0" "     7.5" "     3.4" "    -3.4" "    -8.8" "    -1.5" "   -10.7" "    -5.5" "     8.7" "     2.5"
"1876" "   -12.9" "   -11.3" "    -5.7" "    -2.0" "     1.4" "     9.3" "    10.1" "    11.8" "     6.3" "     2.7" "     0.2" "    -5.3" "     0.4" "   -11.0" "    -2.1" "    10.4" "     3.1"
"1877" "   -11.8" "    -6.4" "    -4.1" "    -0.6" "     2.0" "     5.9" "    12.7" "    11.6" "     8.5" "     2.5" "    -0.3" "    -5.0" "     1.3" "    -7.8" "    -0.9" "    10.1" "     3.6"
"1878" "    -6.2" "    -8.9" "    -4.9" "    -1.1" "     2.2" "     5.9" "     8.9" "    10.6" "     7.8" "     4.8" "     2.7" "    -1.9" "     1.7" "    -6.7" "    -1.3" "     8.5" "     5.1"
"1879" "    -7.4" "    -7.0" "    -6.1" "    -1.3" "     3.4" "     5.3" "     8.6" "     9.5" "     8.8" "     2.9" "    -1.7" "    -8.7" "     0.5" "    -5.4" "    -1.3" "     7.8" "     3.3"
"1880" "    -9.9" "   -11.5" "   -11.7" "    -4.2" "     0.2" "     5.5" "    12.3" "    11.7" "     9.0" "     4.4" "    -2.7" "    -3.6" "     0.0" "   -10.0" "    -5.2" "     9.8" "     3.6"
"1881" "    -5.2" "    -8.1" "    -3.2" "    -1.4" "    -0.1" "     5.7" "     8.0" "    10.8" "     6.6" "     0.5" "    -4.5" "    -8.6" "     0.0" "    -5.6" "    -1.6" "     8.2" "     0.9"
"1882" "   -13.3" "   -12.7" "   -11.0" "    -6.5" "     0.3" "     6.7" "     9.9" "    11.6" "     7.7" "     3.6" "    -1.0" "    -3.5" "    -0.7" "   -11.5" "    -5.7" "     9.4" "     3.4"
"1883" "   -12.9" "   -16.4" "    -9.3" "    -3.4" "     1.9" "     6.0" "     9.0" "    12.1" "     7.6" "     1.2" "    -1.0" "    -5.9" "    -0.9" "   -10.9" "    -3.6" "     9.0" "     2.6"
