" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1884" " NA" " NA" " NA" "    -5.8" "    -3.6" "     0.3" "     4.8" "     8.1" "     5.9" "     0.3" "    -7.6" "   -16.7" " NA" " NA" " NA" "     4.4" "    -0.5"
"1885" "   -19.1" "   -12.7" "   -15.2" "    -4.8" "    -0.5" "     4.0" "    11.6" "    12.8" "     7.4" "     0.5" "    -6.1" "   -16.3" "    -3.2" "   -16.2" "    -6.8" "     9.5" "     0.6"
"1886" "   -15.2" "   -17.2" "   -14.1" "    -9.0" "     1.5" "     6.7" "     9.0" " NA" "     4.2" " NA" "    -1.7" "   -14.6" " NA" "   -16.2" "    -7.2" " NA" " NA"
"1887" "   -23.9" "   -23.5" "    -9.2" "    -4.4" "    -0.5" "     0.9" "     8.4" "     7.3" "     4.3" "     1.5" "    -6.9" "   -13.1" "    -4.9" "   -20.7" "    -4.7" "     5.5" "    -0.4"
"1888" "   -16.1" "   -19.1" "    -9.2" "    -8.2" "    -4.1" "     1.8" "     4.9" "     5.9" "     4.0" "     3.1" "    -9.7" "   -16.1" "    -5.2" "   -16.1" "    -7.2" "     4.2" "    -0.9"
"1889" "   -17.5" "   -18.7" "   -10.2" "    -8.7" "     0.8" "     7.3" " NA" "    13.3" "    10.4" " NA" "    -5.1" "   -18.5" " NA" "   -17.4" "    -6.0" " NA" " NA"
"1890" "   -26.5" "   -21.1" "   -15.1" "    -6.9" "     0.0" "     2.2" "    11.4" "    11.5" "     7.9" "     1.6" "    -4.2" "   -17.5" "    -4.7" "   -22.0" "    -7.3" "     8.4" "     1.8"
"1891" "   -18.3" "   -22.7" "    -7.1" "    -4.1" "     0.6" "     1.1" "    13.3" "    13.5" "     4.7" "    -1.2" "    -6.3" "   -15.3" "    -3.5" "   -19.5" "    -3.5" "     9.3" "    -0.9"
"1892" "   -15.9" "   -13.8" "   -11.2" "    -5.6" "    -4.0" "     1.2" "     5.7" "    10.0" "     9.5" " NA" " NA" " NA" " NA" "   -15.0" "    -6.9" "     5.6" " NA"
"1893" "   -13.2" "   -18.3" "   -16.0" "   -10.0" "     0.0" "     3.7" "     9.8" "     8.6" "     4.6" "     0.9" "    -5.2" "   -18.8" "    -4.5" " NA" "    -8.7" "     7.4" "     0.1"
"1894" "   -19.4" "   -22.1" "   -14.5" "   -10.5" "    -2.4" "     0.1" "     5.0" "     8.8" "     4.4" "     1.6" "    -7.4" "   -12.6" "    -5.8" "   -20.1" "    -9.1" "     4.6" "    -0.5"
"1895" "   -12.2" "   -12.1" "   -12.0" "    -3.2" "    -0.9" "     4.0" "    13.4" "    12.9" "     8.2" "     3.2" "    -6.6" "   -11.7" "    -1.4" "   -12.3" "    -5.4" "    10.1" "     1.6"
"1896" "   -19.1" "   -17.0" "   -11.2" "   -10.6" "    -2.3" "     6.2" "     8.0" "     7.8" "     4.8" "     2.0" "    -9.8" "   -19.6" "    -5.1" "   -15.9" "    -8.0" "     7.3" "    -1.0"
"1897" "   -18.5" "   -17.6" "   -13.2" "    -8.6" "    -1.0" "     4.5" "     9.8" "     9.1" "     3.4" "    -0.6" "    -7.0" "   -14.3" "    -4.5" "   -18.6" "    -7.6" "     7.8" "    -1.4"
"1898" "   -22.9" "   -15.2" "   -10.7" "    -7.5" "     0.8" "     4.8" "     8.2" "    12.1" "     7.8" "     1.1" "    -4.3" "   -11.6" "    -3.1" "   -17.5" "    -5.8" "     8.4" "     1.5"
"1899" "   -21.3" "   -19.2" "   -12.7" "    -2.9" "    -0.9" "     3.1" "     8.2" "    12.3" "    11.6" "     3.1" "    -7.2" "    -9.9" "    -3.0" "   -17.4" "    -5.5" "     7.9" "     2.5"
