2101200,WATSON LAKE A                             ,YT  ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,  931.5, ,  928.2, ,  925.5, ,  932.2, ,  930.1, ,  932.4, ,  935.1, ,  931.3, ,  930.6, ,  926.5, ,  923.7, ,  924.8, ,  929.3, ,  929.9, ,  929.2, ,  932.9, ,  927.0,  
1954,  935.4, ,  926.1, ,  933.9, ,  934.0, ,  932.9, ,  928.0, ,  931.2, ,  934.5, ,  933.2, ,  928.9, ,  927.5, ,  923.0, ,  930.7, ,  928.8, ,  933.6, ,  931.2, ,  929.9,  
1955,  930.0, ,  933.2, ,  932.1, ,  927.0, ,  930.9, ,  931.2, ,  932.0, ,  930.4, ,  933.3, ,  923.9, ,  934.6, ,  933.5, ,  931.0, ,  928.7, ,  930.0, ,  931.2, ,  930.6,  
1956,  934.3, ,  927.5, ,  930.1, ,  933.8, ,  933.0, ,  929.6, ,  936.9, ,  933.1, ,  933.0, ,  923.9, ,  930.3, ,  930.9, ,  931.4, ,  931.8, ,  932.3, ,  933.2, ,  929.1,  
1957,  943.2, ,  931.4, ,  930.4, ,  933.3, ,  934.8, ,  930.5, ,  931.7, ,  936.3, ,  933.1, ,  936.1, ,  929.5, ,  922.1, ,  932.7, ,  935.2, ,  932.8, ,  932.9, ,  932.9,  
1958,  927.0, ,  935.4, ,  935.3, ,  931.5, ,  932.4, ,  934.7, ,  934.0, ,  932.1, ,  929.2, ,  926.5, ,  927.1, ,  933.9, ,  931.6, ,  928.2, ,  933.1, ,  933.6, ,  927.6,  
1959,  939.2, ,  931.2, ,  924.5, ,  930.9, ,  933.5, ,  932.2, ,  932.8, ,  932.5, ,  930.4, ,  932.2, ,  933.5, ,  923.7, ,  931.4, ,  934.8, ,  929.6, ,  932.5, ,  932.0,  
1960,  930.7, ,  933.7, ,  932.2, ,  927.7, ,  929.8, ,  931.9, ,  934.9, ,  930.9, ,  932.4, ,  925.0, ,  926.9, ,  935.2, ,  930.9, ,  929.4, ,  929.9, ,  932.6, ,  928.1,  
1961,  932.8, ,  926.4, ,  926.0, ,  929.1, ,  934.5, ,  932.9, ,  935.6, ,  932.8, ,  931.4, ,  925.0, ,  928.4, ,  929.6, ,  930.4, ,  931.5, ,  929.8, ,  933.8, ,  928.2,  
1962,  937.1, ,  936.0, ,  931.4, ,  928.4, ,  932.9, ,  930.9, ,  936.4, ,  931.1, ,  930.3, ,  928.1, ,  923.7, ,  932.9, ,  931.6, ,  934.2, ,  930.9, ,  932.8, ,  927.4,  
1963,  938.3, ,  932.5, ,  930.2, ,  930.0, ,  934.0, ,  929.1, ,  931.1, ,  935.3, ,  929.6, ,  921.8, ,  927.3, ,  935.2, ,  931.2, ,  934.6, ,  931.4, ,  931.8, ,  926.2,  
1964,  923.8, ,  925.7, ,  929.5, ,  927.9, ,  933.0, ,  931.1, ,  931.5, ,  931.2, ,  933.7, ,  928.5, ,  932.6, ,  930.2, ,  929.9, ,  928.2, ,  930.1, ,  931.3, ,  931.6,  
1965,  933.0, ,  929.6, ,  941.1, ,  931.3, ,  932.1, ,  932.6, ,  935.4, ,  933.9, ,  936.7, ,  924.6, ,  932.2, ,  926.6, ,  932.4, ,  930.9, ,  934.8, ,  934.0, ,  931.2,  
1966,  938.6, ,  928.1, ,  927.5, ,  936.8, ,  929.1, ,  931.0, ,  933.2, ,  933.9, ,  931.0, ,  926.7, ,  934.1, ,  928.6, ,  931.5, ,  931.1, ,  931.1, ,  932.7, ,  930.6,  
1967,  929.3, ,  928.7, ,  935.1, ,  933.8, ,  933.8, ,  933.8, ,  933.0, ,  934.3, ,  927.9, ,  925.1, ,  931.2, ,  932.7, ,  931.6, ,  928.9, ,  934.3, ,  933.7, ,  928.1,  
1968,  933.2, ,  935.8, ,  929.9, ,  928.7, ,  934.3, ,  931.9, ,  935.9, ,  933.5, ,  930.4, ,  924.7, ,  925.5, ,  935.9, ,  931.7, ,  933.9, ,  931.0, ,  933.8, ,  926.9,  
1969,  938.5, ,  928.6, ,  933.9, ,  928.5, ,  934.0, ,  934.2, ,  931.5, ,  927.8, ,  932.9, ,  935.8, ,  927.0, ,  929.2, ,  931.8, ,  934.3, ,  932.2, ,  931.2, ,  931.9,  
1970,  934.4, ,  934.7, ,  932.7, ,  927.9, ,  932.3, ,  931.4, ,  932.5, ,  931.8, ,  930.4, ,  928.9, ,  935.0, ,  928.3, ,  931.7, ,  932.8, ,  931.0, ,  931.9, ,  931.4,  
1971,  936.7, ,  927.5, ,  928.2, ,  928.0, ,  932.3, ,  932.6, ,  936.8, ,  930.4, ,  932.6, ,  927.9, ,  928.9, ,  930.9, ,  931.1, ,  930.8, ,  929.5, ,  933.3, ,  929.8,  
1972,  932.8, ,  934.1, ,  929.3, ,  927.1, ,  934.0, ,  930.8, ,  938.0, ,  934.6, ,  933.4, ,  933.9, ,  930.3, ,  935.1, ,  932.8, ,  932.6, ,  930.1, ,  934.5, ,  932.5,  
1973,  927.9, ,  937.2, ,  925.9, ,  934.7, ,  931.1, ,  930.9, ,  934.3, ,  933.6, ,  933.2, ,  926.6, ,  935.1, ,  930.5, ,  931.7, ,  933.4, ,  930.5, ,  932.9, ,  931.6,  
1974,  934.8, ,  925.8, ,  930.0, ,  931.3, ,  931.0, ,  929.5, ,  933.0, ,  936.1, ,  937.1, ,  928.2, ,  927.0, ,  921.5, ,  930.4, ,  930.4, ,  930.7, ,  932.9, ,  930.8,  
1975,  929.7, ,  933.7, ,  931.4, ,  931.8, ,  932.4, ,  931.9, ,  933.2, ,  932.7, ,  935.5, ,  925.5, ,  927.5, ,  930.4, ,  931.3, ,  928.3, ,  931.9, ,  932.6, ,  929.5,  
1976,  930.1, ,  928.8, ,  926.4, ,  931.1, ,  928.9, ,  932.5, ,  932.8, ,  932.7, ,  931.3, ,  930.5, ,  933.2, ,  931.2, ,  930.8, ,  929.8, ,  928.8, ,  932.7, ,  931.7,  
1977,  933.9, ,  926.4, ,  924.8, ,  929.5, ,  927.5, ,  931.0, ,  933.9, ,  934.7, ,  931.5, ,  925.1, ,  927.6, ,  935.4, ,  930.1, ,  930.5, ,  927.3, ,  933.2, ,  928.0,  
1978,  938.4, ,  932.3, ,  930.5, ,  930.9, ,  931.7, ,  931.6, ,  933.9, ,  931.7, ,  929.2, ,  926.4, ,  933.8, ,  929.1, ,  931.6, ,  935.4, ,  931.0, ,  932.4, ,  929.8,  
1979,  938.2, ,  936.6, ,  929.8, ,  933.7, ,  931.9, ,  931.9, ,  933.2, ,  933.4, ,  931.2, ,-9999.9,M,  931.8, ,  924.4, ,  932.4, ,  934.6, ,  931.8, ,  932.8, ,  931.5,  
1980,  935.3, ,  932.4, ,  929.2, ,  926.8, ,  932.0, ,  933.6, ,  930.9, ,  932.7, ,  930.5, ,  930.4, ,  925.4, ,  937.8, ,  931.4, ,  930.7, ,  929.3, ,  932.4, ,  928.7,  
1981,  931.1, ,  929.7, ,  929.5, ,  929.1, ,  933.1, ,  928.1, ,  933.2, ,  933.3, ,  929.0, ,  928.2, ,  924.8, ,  929.7, ,  929.9, ,  932.9, ,  930.6, ,  931.5, ,  927.3,  
1982,  936.4, ,  936.2, ,  928.8, ,  927.8, ,  932.6, ,  932.7, ,  932.4, ,  933.6, ,  932.4, ,  926.1, ,  930.0, ,  929.2, ,  931.5, ,  934.1, ,  929.7, ,  932.9, ,  929.5,  
1983,  925.2, ,  925.2, ,  929.1, ,  931.5, ,  931.9, ,  929.5, ,  930.4, ,  930.9, ,  931.3, ,  927.2, ,  927.5, ,  941.7, ,  930.1, ,  926.5, ,  930.8, ,  930.3, ,  928.7,  
1984,  930.6, ,  922.9, ,  930.4, ,  928.0, ,  930.2, ,  929.6, ,  932.4, ,  929.8, ,  935.1, ,  930.5, ,  925.4, ,  931.2, ,  929.7, ,  931.7, ,  929.6, ,  930.6, ,  930.3,  
1985,  935.1, ,  929.8, ,  927.1, ,  926.4, ,  930.0, ,  932.8, ,  933.9, ,  934.6, ,  933.2, ,  924.4, ,  940.9, ,  935.4, ,  932.0, ,  932.0, ,  927.9, ,  933.8, ,  932.8,  
1986,  925.3, ,  931.9, ,  926.3, ,  930.1, ,  929.5, ,  932.2, ,  933.3, ,  934.0, ,  934.7, ,  932.4, ,  931.0, ,  927.7, ,  930.7, ,  930.9, ,  928.6, ,  933.2, ,  932.7,  
1987,  926.4, ,  930.2, ,  934.5, ,  926.7, ,  928.8, ,  931.3, ,  933.3, ,  937.5, ,  931.2, ,  931.0, ,  925.7, ,  926.1, ,  930.2, ,  928.1, ,  930.0, ,  934.0, ,  929.3,  
1988,  932.7, ,  933.6, ,  930.1, ,  928.6, ,  929.0, ,  931.1, ,  932.8, ,  931.7, ,  931.5, ,  930.5, ,  921.4, ,  932.5, ,  930.4, ,  930.8, ,  929.2, ,  931.9, ,  927.8,  
1989,  923.8, ,  948.9, ,  932.2, ,  935.3, ,  931.5, ,  932.9, ,  934.8, ,  933.7, ,  934.1, ,  929.3, ,  925.1, ,  933.7, ,  932.9, ,  935.1, ,  933.0, ,  933.8, ,  929.5,  
1990,  924.6, ,  926.9, ,  933.0, ,  935.2, ,  931.1, ,  930.0, ,  935.9, ,  933.3, ,  931.7, ,  924.5, ,  927.4, ,  931.4, ,  930.4, ,  928.4, ,  933.1, ,  933.1, ,  927.9,  
1991,  935.4, ,  927.8, ,  925.0, ,  930.7, ,  930.9, ,  931.9, ,  932.7, ,  932.2, ,  934.1, ,  934.0, ,  928.1, ,  921.8, ,  930.4, ,  931.5, ,  928.9, ,  932.3, ,  932.1,  
1992,  923.4, ,  931.3, ,  931.8, ,  929.5, ,  932.7, ,  932.7, ,  934.1, ,  935.5, ,  926.6, ,  929.3, ,  929.7, ,  932.7, ,  930.8, ,  925.5, ,  931.3, ,  934.1, ,  928.5,  
1993,  929.9, ,  935.7, ,  931.2, ,  929.6, ,  931.5, ,  931.5, ,  935.4, ,  935.4, ,  934.6, ,-9999.9,M,  928.1, ,  927.0, ,  931.8, ,  932.8, ,  930.8, ,  934.1, ,  931.4,  
1994,  939.8, ,  936.2, ,  928.6, ,  930.9, ,  930.4, ,  931.4, ,  934.9, ,  935.7, ,  930.4, ,  925.8, ,  921.1, ,  926.9, ,  931.0, ,  934.3, ,  930.0, ,  934.0, ,  925.8,  
1995,  930.5, ,  937.5, ,  931.4, ,  932.7, ,  933.5, ,  932.9, ,  932.4, ,  930.6, ,  934.5, ,  927.4, ,  932.2, ,  932.7, ,  932.4, ,  931.6, ,  932.5, ,  931.9, ,  931.4,  
1996,  937.0, ,  928.2, ,  939.0, ,  928.2, ,  935.1, ,  931.8, ,  935.6, ,  931.3, ,  931.7, ,  928.5, ,  938.3, ,  930.8, ,  933.0, ,  932.6, ,  934.1, ,  932.9, ,  932.8,  
1997,  933.1, ,  933.0, ,  930.6, ,  931.9, ,  934.8, ,  930.5, ,  932.0, ,  934.3, ,  929.8, ,  927.6, ,  928.4, ,  922.9, ,  930.8, ,  932.3, ,  932.5, ,  932.3, ,  928.6,  
1998,  930.5, ,  923.9, ,  932.2, ,  930.5, ,  930.5, ,  933.7, ,  934.7, ,  933.4, ,  931.1, ,  930.0, ,  927.2, ,  932.0, ,  930.8, ,  925.8, ,  931.1, ,  933.9, ,  929.4,  
1999,  929.8, ,  920.9, ,  926.0, ,  931.1, ,  930.1, ,  929.9, ,  933.4, ,  931.6, ,  931.9, ,  927.0, ,  925.7, ,  927.4, ,  928.7, ,  927.6, ,  929.1, ,  931.6, ,  928.2,  
2000,  930.7, ,  930.5, ,  928.3, ,  931.7, ,  931.5, ,  932.9, ,  932.1, ,  933.2, ,  929.2, ,  928.8, ,  931.7, ,  936.8, ,  931.5, ,  929.5, ,  930.5, ,  932.8, ,  929.9,  
2001,  926.8, ,  935.1, ,  929.5, ,  929.1, ,  929.6, ,  933.7, ,  932.4, ,  930.8, ,  929.6, ,  925.7, ,  927.9, ,  925.6, ,  929.7, ,  932.9, ,  929.4, ,  932.3, ,  927.7,  
2002,  928.7, ,  931.3, ,  938.5, ,  934.4, ,  933.7, ,  931.3, ,  933.7, ,  933.9, ,  930.7, ,  934.5, ,  930.4, ,  924.3, ,  932.1, ,  928.5, ,  935.5, ,  933.0, ,  931.9,  
