5060520,BROCHET A                                 ,MAN ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,  973.8, ,  972.2, ,  974.0, ,  976.5, ,  976.4, ,  972.6, ,  970.9, ,  971.4, ,  969.2, ,  972.1, ,  968.9, ,  969.1, ,  972.3, ,  973.0, ,  975.6, ,  971.6, ,  970.1,  
1954,  978.2, ,  967.7, ,  978.3, ,  975.0, ,  978.6, ,  970.2, ,  970.6, ,  976.4, ,  974.2, ,  969.6, ,  971.7, ,  968.3, ,  973.2, ,  971.7, ,  977.3, ,  972.4, ,  971.8,  
1955,  974.5, ,  977.5, ,  974.5, ,  971.5, ,  972.6, ,  972.3, ,  970.9, ,  969.3, ,  971.9, ,  968.0, ,  974.3, ,  977.1, ,  972.8, ,  973.4, ,  972.9, ,  970.8, ,  971.4,  
1956,  982.7, ,  973.7, ,  974.7, ,  975.5, ,  974.2, ,  972.0, ,  975.5, ,  970.1, ,  973.1, ,  968.4, ,  974.2, ,  971.5, ,  973.8, ,  977.8, ,  974.8, ,  972.5, ,  971.9,  
1957,  972.6, ,  971.3, ,  977.3, ,  977.3, ,  977.2, ,  969.4, ,  968.9, ,  976.1, ,  969.2, ,  974.8, ,  972.7, ,  970.7, ,  973.1, ,  971.8, ,  977.3, ,  971.5, ,  972.2,  
1958,  974.3, ,  980.0, ,  983.0, ,  974.5, ,  972.8, ,  972.4, ,  969.4, ,  970.6, ,  968.9, ,  971.9, ,  969.3, ,  975.9, ,  973.6, ,  975.0, ,  976.8, ,  970.8, ,  970.0,  
1959,  973.5, ,  970.5, ,  971.2, ,  973.6, ,  974.5, ,  971.9, ,  968.5, ,  970.1, ,  972.6, ,  973.3, ,  974.4, ,  971.8, ,  972.2, ,  973.3, ,  973.1, ,  970.1, ,  973.4,  
1960,  975.0, ,  978.4, ,  979.0, ,  972.9, ,  971.2, ,  970.0, ,  970.5, ,  969.0, ,  970.2, ,  969.6, ,  971.2, ,  976.1, ,  972.8, ,  975.1, ,  974.4, ,  969.8, ,  970.3,  
1961,  975.4, ,  974.5, ,  974.1, ,  972.6, ,  977.5, ,  972.9, ,  972.7, ,  970.4, ,  969.2, ,  969.0, ,  969.3, ,  973.3, ,  972.6, ,  975.3, ,  974.7, ,  972.0, ,  969.1,  
1962,  973.4, ,  978.3, ,  978.1, ,  974.4, ,  975.4, ,  971.0, ,  972.6, ,  970.0, ,  971.7, ,  970.5, ,  970.6, ,  975.0, ,  973.4, ,  975.0, ,  976.0, ,  971.2, ,  971.0,  
1963,  972.6, ,  977.5, ,  972.7, ,  975.9, ,  974.7, ,  971.2, ,  968.7, ,  973.5, ,  972.7, ,  966.9, ,  970.9, ,  975.9, ,  972.8, ,  975.0, ,  974.4, ,  971.1, ,  970.2,  
1964,  968.9, ,  967.0, ,  974.7, ,  971.4, ,  972.5, ,  970.4, ,  970.6, ,  971.4, ,  970.3, ,  969.0, ,  974.7, ,  972.2, ,  971.1, ,  970.6, ,  972.9, ,  970.8, ,  971.3,  
1965,  972.7, ,  972.8, ,  980.1, ,  972.9, ,  971.7, ,  969.8, ,  972.1, ,  971.7, ,  972.3, ,  967.6, ,  973.8, ,  968.8, ,  972.2, ,  972.6, ,  974.9, ,  971.2, ,  971.3,  
1966,  983.2, ,  972.9, ,  974.7, ,  978.3, ,  974.4, ,  969.9, ,  970.4, ,  973.3, ,  970.9, ,  968.1, ,  974.7, ,  976.1, ,  973.9, ,  975.0, ,  975.8, ,  971.2, ,  971.2,  
1967,  972.6, ,  973.9, ,  974.9, ,  977.4, ,  974.4, ,  970.8, ,  970.6, ,  972.0, ,  968.8, ,  969.9, ,  969.5, ,  969.8, ,  972.0, ,  974.2, ,  975.6, ,  971.1, ,  969.4,  
1968,  977.5, ,  979.8, ,  973.6, ,  970.9, ,  975.7, ,  970.4, ,  971.5, ,  972.9, ,  967.8, ,  969.6, ,  971.3, ,  978.5, ,  973.3, ,  975.7, ,  973.4, ,  971.6, ,  969.5,  
1969,  979.8, ,  979.4, ,  978.6, ,  973.8, ,  973.9, ,  971.7, ,  971.2, ,  969.1, ,  977.1, ,  974.9, ,  969.7, ,  974.0, ,  974.4, ,  979.2, ,  975.4, ,  970.6, ,  973.9,  
1970,  973.5, ,  974.6, ,  977.4, ,  973.8, ,  976.2, ,  971.1, ,  969.0, ,  968.3, ,  968.3, ,  972.1, ,  974.5, ,  975.4, ,  972.8, ,  974.0, ,  975.8, ,  969.5, ,  971.6,  
1971,  973.7, ,  970.4, ,  975.1, ,  975.8, ,  973.0, ,  971.1, ,  970.2, ,  972.1, ,  969.3, ,  969.3, ,  973.7, ,  971.0, ,  972.1, ,  973.2, ,  974.6, ,  971.1, ,  970.8,  
1972,  969.2, ,  976.4, ,  975.8, ,  972.1, ,  975.8, ,  969.5, ,-9999.9,M,  971.7, ,  970.1, ,  972.6, ,  973.8, ,  974.5, ,  972.9, ,  972.2, ,  974.6, ,  970.6, ,  972.2,  
1973,  971.1, ,  979.3, ,  971.7, ,  979.3, ,  975.8, ,  970.3, ,  969.9, ,  970.0, ,  973.7, ,  970.3, ,  976.6, ,  977.9, ,  973.8, ,  975.0, ,  975.6, ,  970.1, ,  973.5,  
1974,  971.1, ,  974.2, ,  973.6, ,  974.7, ,  974.9, ,  969.5, ,  970.8, ,  971.5, ,  973.0, ,  973.4, ,  970.9, ,  968.6, ,  972.2, ,  974.4, ,  974.4, ,  970.6, ,  972.4,  
1975,  972.1, ,-9999.9,M,  976.8, ,  979.9, ,  973.8, ,  969.2, ,  969.1, ,  971.0, ,  975.7, ,  969.3, ,  971.1, ,  974.1, ,  972.9, ,  970.3, ,  976.9, ,  969.7, ,  972.0,  
1976,  972.8, ,-9999.9,M,  970.0, ,  976.6, ,-9999.9,M,  970.3, ,  971.7, ,  973.4, ,  970.7, ,  972.8, ,  972.5, ,  972.3, ,  972.3, ,  973.5, ,  973.3, ,  971.8, ,  972.0,  
