7056200,PORT MENIER                               ,QUE ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1954,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1955,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1956,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1957,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1958,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1959,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1960,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1010.6,a, 1014.5,a, 1009.2,a, 1008.6,a, 1010.5,a,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1010.8,a 
1961, 1007.7,a, 1014.7,a, 1011.7,a, 1009.6,a, 1011.9,a, 1007.5,a, 1010.5,a, 1012.2,a, 1014.1,a, 1012.9,a, 1012.3,a, 1006.9,a, 1011.0,a, 1011.0,a, 1011.1,a, 1010.1,a, 1013.1,a 
1962, 1008.4,a, 1017.9,a, 1010.2,a, 1009.6,a, 1013.5,a, 1010.2,a, 1010.7,a, 1013.2,a, 1013.7,a, 1010.0,a, 1015.1,a, 1011.4,a, 1012.0,a, 1011.1,a, 1011.1,a, 1011.4,a, 1012.9,a 
1963, 1011.6,a, 1003.8,a, 1009.7,a, 1006.1,a, 1012.9,a, 1007.8,a, 1008.7,a, 1009.0,a, 1014.2,a, 1010.5,a, 1011.2,a, 1005.6,a, 1009.3,a, 1008.9,a, 1009.6,a, 1008.5,a, 1012.0,a 
1964, 1007.5,a,  999.4,a, 1009.4,a, 1015.9,a, 1008.7,a, 1007.6,a, 1011.9,a, 1010.5,a, 1011.8,a, 1011.7,a, 1010.8,a, 1015.8,a, 1010.1,a, 1004.2,a, 1011.3,a, 1010.0,a, 1011.5,a 
1965, 1007.3,a, 1010.9,a, 1007.0,a, 1010.1,a, 1011.9,a, 1009.4,a, 1008.9,a, 1008.5,a, 1016.0,a, 1007.5,a, 1010.2,a, 1010.1,a, 1009.8,a, 1011.3,a, 1009.6,a, 1008.9,a, 1011.2,a 
1966, 1010.1,a, 1012.5,a, 1012.5,a, 1014.3,a, 1010.4,a, 1011.2,a, 1005.6,a, 1008.7,a, 1008.1,a, 1007.0,a, 1019.1,a, 1012.6,a, 1011.0,a, 1010.9,a, 1012.4,a, 1008.5,a, 1011.4,a 
1967, 1011.7,a, 1006.7,a, 1018.3,a, 1013.0,a, 1012.1,a, 1013.9,a, 1010.6,a, 1012.4,a, 1013.6,a, 1015.0,a, 1007.3,a, 1013.2,a, 1012.3,a, 1010.3,a, 1014.5,a, 1012.3,a, 1012.0,a 
1968, 1013.6,a, 1000.8,a, 1011.0,a, 1012.7,a, 1011.7,a, 1011.0,a, 1011.4,a, 1009.9,a, 1015.3,a, 1008.9,a, 1009.8,a, 1003.7,a, 1010.0,a, 1009.2,a, 1011.8,a, 1010.8,a, 1011.3,a 
1969, 1013.1,a, 1013.4,a, 1005.7,a, 1012.3,a, 1011.3,a, 1009.4,a, 1011.6,a, 1007.5,a, 1014.9,a, 1012.8,a, 1016.2,a, 1008.2,a, 1011.4,a, 1010.1,a, 1009.8,a, 1009.5,a, 1014.6,a 
1970, 1002.0,a, 1011.8,a, 1009.0,a, 1010.7,a, 1014.4,a, 1010.2,a, 1009.8,a,-9999.9,M, 1012.8,a, 1019.8,a, 1015.0,a, 1009.7,a, 1011.4,a, 1007.3,a, 1011.4,a, 1010.0,a, 1015.8,a 
1971, 1003.5,a, 1013.1,a, 1002.8,a, 1009.5,a, 1009.9,a,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M, 1012.0,a, 1014.2,a,-9999.9,M, 1008.8,a, 1007.4,a,-9999.9,M,-9999.9,M 
1972, 1009.1,a, 1009.5,a, 1014.1,a, 1010.2,a, 1014.3,a,-9999.9,M,-9999.9,M, 1010.1,a, 1012.3,a, 1014.9,a,-9999.9,M,-9999.9,M, 1011.8,a, 1011.0,a, 1012.9,a,-9999.9,M, 1013.6,a 
1973, 1005.9,a, 1014.6,a, 1017.0,a, 1010.6,a,-9999.9,M, 1012.5,a, 1008.0,a, 1012.8,a, 1010.5,a, 1012.7,a, 1003.4,a,-9999.9,M, 1010.8,a, 1010.3,a, 1013.8,a, 1011.1,a, 1008.9,a 
