"","city","df_n","id","prov","intercept","slope","CI_lower","CI_upper","variance","r.squared"
"1","AGASSIZ",37,"26","BC",-88.543669985778,0.045187292555715,-0.0321398714861711,0.122514456597601,0.00209780975557836,0.880025901620855
"2","ATLIN",38,"54","BC",-211.456483203851,0.0532042163621095,-0.0540292663068275,0.160437699031047,0.00403424952995841,0.880025901620855
"3","BARKERVILLE",34,"21","BC",68.0417836769565,-0.0849843117059915,-0.200935032441002,0.0309664090290191,0.00469419625344249,0.880025901620855
"4","BEAVERDELL",24,"34","BC",121.482459459453,-0.111106211474631,-0.273677264004049,0.0514648410547867,0.0092723191196564,0.880025901620855
"5","BELLA COOLA",38,"13","BC",-53.9328810591965,-0.0191012875223417,-0.126334770191279,0.0881321951465953,0.00403424952995841,0.880025901620855
"6","BLIND CHANNEL",35,"3","BC",-54.4476392932505,-0.0165507258628615,-0.129593078015852,0.0964916262901292,0.00448316069767395,0.880025901620855
"7","BLUE RIVER",38,"41","BC",0.0427508480146347,-0.0497173286646988,-0.157902958780352,0.0584683014509545,0.00403424952995843,0.880025901620855
"8","CAPE SCOTT",29,"7","BC",40.9458066001145,-0.0640611884615783,-0.192519141760101,0.0643967648369445,0.00578927169017945,0.880025901620855
"9","CAPE ST JAMES",31,"10","BC",-20.6159438226492,-0.0330024638243916,-0.142582980536951,0.0765780528881679,0.00420642398609859,0.880025901620855
"10","CARIBOO LODGE",24,"46","BC",-18.2601178665221,-0.0406977021272072,-0.196304274027389,0.114908869772974,0.00838695232603802,0.880025901620855
"11","COMOX",38,"4","BC",5.14566145092488,-0.0470365101944065,-0.154269992863344,0.0601969724745306,0.00403424952995842,0.880025901620855
"12","CRANBROOK",38,"40","BC",5.81137980085365,-0.0521574205784747,-0.159557729953364,0.0552428887964148,0.00403424952995841,0.880025901620855
"13","CRESTON",35,"36","BC",-107.816079382441,0.00704692368534957,-0.106864437457537,0.120958284828236,0.00455235391060268,0.880025901620855
"14","DARFIELD",38,"42","BC",-3.86221687274287,-0.046259619943832,-0.153659929318722,0.0611406894310576,0.00403424952995842,0.880025901620855
"15","DAWSON CREEK",38,"49","BC",-153.754918481234,0.0237589816537168,-0.0837325397471382,0.131250503054572,0.00403424952995842,0.880025901620855
"16","DEASE LAKE",38,"52","BC",-87.5815406499614,-0.0100412153043747,-0.117355664263439,0.0972732336546894,0.00403424952995842,0.880025901620855
"17","ESTEVAN POINT",38,"8","BC",-4.07390305285004,-0.0415107415107431,-0.14874422417968,0.065722741158194,0.00403424952995842,0.880025901620855
"18","FAUQUIER",33,"37","BC",-45.1188596491226,-0.0244932675341448,-0.140510420141668,0.0915238850733782,0.00472222134529273,0.880025901620855
"19","FORT NELSON",38,"53","BC",-152.586847576321,0.0212204106940932,-0.0863681906669722,0.128809012055159,0.00403424952995842,0.880025901620855
"20","FORT ST JAMES",31,"22","BC",1.33790322580698,-0.0518001957815217,-0.178976617950239,0.0753762263871956,0.00566577812212259,0.880025901620855
"21","FORT ST JOHN",38,"50","BC",-110.629215450268,0.00352700879016513,-0.1040615925709,0.111115610151231,0.00403424952995842,0.880025901620855
"22","GERMANSEN",34,"51","BC",-48.2912605042041,-0.0281972238009391,-0.145937343990295,0.0895428963884169,0.00480172466742852,0.880025901620855
"23","GLACIER",33,"47","BC",32.9906809538911,-0.0666111952652703,-0.185957827742172,0.0527354372116311,0.00498961108577543,0.880025901620855
"24","GOLDEN",38,"48","BC",-71.4320385162486,-0.0143086406244317,-0.121542123293369,0.0929248420445055,0.00403424952995843,0.880025901620855
"25","GRAND FORKS",29,"35","BC",-38.3783251231506,-0.0286848295015289,-0.164345692128153,0.106976033125095,0.00645670707037127,0.880025901620855
"26","KAMLOOPS",38,"43","BC",18.9583214793744,-0.0565670934092002,-0.163881542368264,0.0507473555498639,0.00403424952995842,0.880025901620855
"27","KASLO",38,"38","BC",-53.1120472699416,-0.0206878943721065,-0.127921377041044,0.0865455882968306,0.00403424952995842,0.880025901620855
"28","KELOWNA",35,"28","BC",-199.647030812325,0.0526558446991872,-0.0618307782376802,0.167142467636055,0.00457639842477433,0.880025901620855
