"","city","df_n","id","prov","intercept","slope","CI_lower","CI_upper","variance","r.squared"
"1","ANNAPOLIS ROYAL",19,"1","NS",-218.033649210293,0.105353283458014,-0.053517789938316,0.264224356854344,0.0083404119777201,0.941061504273791
"2","COLLEGEVILLE",33,"2","NS",-142.256862171195,-0.0394044948181746,-0.208835683885372,0.130026694249023,0.00998576881193174,0.941061504273791
"3","DEMING",31,"3","NS",-94.1721774193571,-0.0617242511999484,-0.235582112600371,0.112133610200474,0.0104697658845957,0.941061504273791
"4","GREENWOOD",38,"4","NS",-60.6200240726555,-0.0794751786325409,-0.243996079150177,0.0850457218850948,0.00949607401712298,0.941061504273791
"5","HALIFAX",38,"5","NS",34.540617135354,-0.126668525825888,-0.291189426343524,0.0378523746917476,0.00949607401712297,0.941061504273791
"6","KENTVILLE",36,"6","NS",-9.61646099549709,-0.104980884772362,-0.269767619463336,0.0598058499186112,0.00949721322395261,0.941061504273791
"7","LIVERPOOL",32,"7","NS",41.3709494134899,-0.130371611903762,-0.30242555451593,0.0416823307084058,0.0102761882566979,0.941061504273791
"8","NAPPAN",38,"8","NS",-47.4926140715613,-0.0873316180679277,-0.251852518585563,0.077189282449708,0.00949607401712297,0.941061504273791
"9","PARRSBORO",35,"10","NS",53.56257177297,-0.137422678037615,-0.302308208514662,0.0274628524394311,0.00953821322405401,0.941061504273791
"10","SABLE ISLAND",37,"11","NS",-78.1788774872198,-0.0678442418112694,-0.233125871766481,0.0974373881439426,0.00953813602356525,0.941061504273791
"11","SYDNEY",38,"12","NS",-110.548189079768,-0.0547241117762109,-0.219369233261326,0.109921009708904,0.00949607401712298,0.941061504273791
"12","UPPER STEWIACKE",38,"9","NS",18.8235146077252,-0.120398693240266,-0.284919593757902,0.0441222072773696,0.00949607401712296,0.941061504273791
"13","YARMOUTH",38,"13","NS",-30.7748659590765,-0.0928683288677963,-0.257389229385432,0.0716525716498393,0.00949607401712296,0.941061504273791
